symbol,hint,rows,nonnull_ts,nonnull_ratio,tmin,tmax,reasons,file
BANKNIFTY,banknifty197042970,15646,15646,1.0,1970-01-01T05:30:00.000000+0530,2019-07-01T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1970429700ce.parquet
BANKNIFTY,banknifty197043080,92660,92660,1.0,1970-01-01T05:30:00.000000+0530,2019-07-04T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1970430800ce.parquet
BANKNIFTY,banknifty197112970,56235,56235,1.0,1970-01-01T05:30:00.000000+0530,2019-07-11T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1971129700ce.parquet
BANKNIFTY,banknifty197113080,101994,101994,1.0,1970-01-01T05:30:00.000000+0530,2019-07-11T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1971130800ce.parquet
BANKNIFTY,banknifty198012910,100647,100647,1.0,1970-01-01T05:30:00.000000+0530,2019-08-01T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980129100ce.parquet
BANKNIFTY,banknifty198082640,26642,26642,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980826400ce.parquet
BANKNIFTY,banknifty198082650,55229,55229,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980826500ce.parquet
BANKNIFTY,banknifty198082690,102306,102306,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980826900ce.parquet
BANKNIFTY,banknifty198082690,100829,100829,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:29:38.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980826900pe.parquet
BANKNIFTY,banknifty198082700,100723,100723,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980827000ce.parquet
BANKNIFTY,banknifty198082710,100357,100357,1.0,1970-01-01T05:30:00.000000+0530,2019-08-08T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1980827100ce.parquet
BANKNIFTY,banknifty198142910,21601,21601,1.0,1970-01-01T05:30:00.000000+0530,2019-08-09T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1981429100ce.parquet
BANKNIFTY,banknifty198222720,83891,83891,1.0,1970-01-01T05:30:00.000000+0530,2019-08-22T15:01:28.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty1982227200pe.parquet
BANKNIFTY,banknifty19aug,41089,41089,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25500ce.parquet
BANKNIFTY,banknifty19aug,41534,41534,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25500pe.parquet
BANKNIFTY,banknifty19aug,41313,41313,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25600ce.parquet
BANKNIFTY,banknifty19aug,41110,41110,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25600pe.parquet
BANKNIFTY,banknifty19aug,41288,41288,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25700ce.parquet
BANKNIFTY,banknifty19aug,41381,41381,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25800ce.parquet
BANKNIFTY,banknifty19aug,40420,40420,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25900ce.parquet
BANKNIFTY,banknifty19aug,41579,41579,1.0,1970-01-01T05:30:00.000000+0530,2019-08-26T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19aug25900pe.parquet
BANKNIFTY,banknifty19d053200,108779,108779,1.0,1970-01-01T05:30:00.000000+0530,2019-12-05T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19d0532000ce.parquet
BANKNIFTY,banknifty19jun,38226,38226,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29100ce.parquet
BANKNIFTY,banknifty19jun,37681,37681,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:51.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29100pe.parquet
BANKNIFTY,banknifty19jun,37944,37944,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29200ce.parquet
BANKNIFTY,banknifty19jun,38488,38488,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29200pe.parquet
BANKNIFTY,banknifty19jun,36287,36287,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29300ce.parquet
BANKNIFTY,banknifty19jun,38258,38258,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29300pe.parquet
BANKNIFTY,banknifty19jun,35495,35495,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29400ce.parquet
BANKNIFTY,banknifty19jun,38718,38718,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29400pe.parquet
BANKNIFTY,banknifty19jun,34731,34731,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29500ce.parquet
BANKNIFTY,banknifty19jun,39015,39015,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29500pe.parquet
BANKNIFTY,banknifty19jun,36931,36931,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:30:00.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29600ce.parquet
BANKNIFTY,banknifty19jun,39463,39463,1.0,1970-01-01T05:30:00.000000+0530,2019-06-25T15:29:59.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29600pe.parquet
BANKNIFTY,banknifty19jun,57556,57556,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:56.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29700ce.parquet
BANKNIFTY,banknifty19jun,40583,40583,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:42.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29700pe.parquet
BANKNIFTY,banknifty19jun,58110,58110,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29800ce.parquet
BANKNIFTY,banknifty19jun,40241,40241,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:46.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29800pe.parquet
BANKNIFTY,banknifty19jun,57034,57034,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:58.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29900ce.parquet
BANKNIFTY,banknifty19jun,41093,41093,1.0,1970-01-01T05:30:00.000000+0530,2019-06-27T15:29:54.000000+0530,min_timestamp_out_of_range,data/raw/options/banknifty19jun29900pe.parquet
