/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:74: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
/Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/run_all_strategies.py:90: PerformanceWarning: Resolving the schema of a LazyFrame is a potentially expensive operation. Use `LazyFrame.collect_schema()` to get the schema without this warning.
  schema = lf.schema
Wrote schema audit: /Users/abhishek/workspace/NFOopsLab/NFOpsLab-gpt-optimized/backtests/logs/schema_audit_BANKNIFTY_2019-01-01_2025-07-31.log
Scheduled 323 tasks: ['gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp', 'gamma_scalp']...
[OK] gamma_scalp in 10.2s
[OK] gamma_scalp in 10.3s
[OK] gamma_scalp in 10.4s
[OK] gamma_scalp in 10.4s
[OK] gamma_scalp in 10.4s
[OK] gamma_scalp in 10.5s
[OK] gamma_scalp in 10.2s
[OK] gamma_scalp in 10.2s
[OK] gamma_scalp in 10.3s
[OK] gamma_scalp in 10.3s
[OK] gamma_scalp in 10.4s
[OK] gamma_scalp in 10.4s
[OK] gamma_scalp in 10.8s
[OK] gamma_scalp in 10.9s
[OK] gamma_scalp in 17.7s
[OK] gamma_scalp in 19.7s
[OK] gamma_scalp in 20.6s
[OK] gamma_scalp in 20.9s
[OK] gamma_scalp in 24.5s
[OK] gamma_scalp in 27.6s
[OK] gamma_scalp in 32.6s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 33.3s
[OK] gamma_scalp in 29.8s
[OK] gamma_scalp in 28.5s
[OK] gamma_scalp in 29.5s
[OK] gamma_scalp in 28.9s
[OK] gamma_scalp in 29.4s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 22.4s
[OK] gamma_scalp in 25.2s
[OK] gamma_scalp in 21.5s
[OK] gamma_scalp in 20.8s
[OK] gamma_scalp in 23.1s
[OK] gamma_scalp in 23.3s
[OK] gamma_scalp in 19.7s
[OK] gamma_scalp in 21.3s
[OK] gamma_scalp in 22.5s
[OK] gamma_scalp in 23.2s
[OK] gamma_scalp in 31.6s
[OK] gamma_scalp in 33.8s
[OK] gamma_scalp in 28.8s
[OK] gamma_scalp in 32.1s
[OK] gamma_scalp in 32.3s
[OK] gamma_scalp in 33.9s
[OK] gamma_scalp in 36.7s
[OK] gamma_scalp in 37.5s
[OK] gamma_scalp in 35.8s
[OK] gamma_scalp in 37.8s
[OK] gamma_scalp in 34.7s
[OK] gamma_scalp in 37.9s
[OK] gamma_scalp in 38.4s
[OK] gamma_scalp in 37.9s
[OK] gamma_scalp in 39.6s
[OK] gamma_scalp in 37.5s
[OK] gamma_scalp in 42.1s
[OK] gamma_scalp in 44.2s
[OK] gamma_scalp in 41.6s
[OK] gamma_scalp in 39.5s
[OK] gamma_scalp in 41.7s
[OK] gamma_scalp in 38.7s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 35.1s
[OK] gamma_scalp in 32.8s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 33.5s
[OK] gamma_scalp in 31.4s
[OK] gamma_scalp in 34.0s
[OK] gamma_scalp in 34.2s
[OK] gamma_scalp in 29.6s
[OK] gamma_scalp in 30.5s
[OK] gamma_scalp in 32.4s
[OK] gamma_scalp in 29.0s
[OK] gamma_scalp in 32.6s
[OK] gamma_scalp in 32.6s
[OK] gamma_scalp in 31.7s
[OK] gamma_scalp in 32.0s
[OK] gamma_scalp in 31.1s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 31.3s
[OK] gamma_scalp in 30.3s
[OK] gamma_scalp in 30.2s
[OK] gamma_scalp in 31.0s
[OK] gamma_scalp in 29.4s
[OK] gamma_scalp in 30.9s
[OK] gamma_scalp in 29.7s
[OK] gamma_scalp in 28.3s
[OK] gamma_scalp in 29.3s
[OK] gamma_scalp in 28.9s
[OK] gamma_scalp in 29.4s
[OK] gamma_scalp in 29.1s
[OK] gamma_scalp in 28.0s
[OK] gamma_scalp in 27.1s
[OK] gamma_scalp in 26.4s
[OK] gamma_scalp in 26.1s
[OK] gamma_scalp in 27.2s
[OK] gamma_scalp in 31.4s
