underlying,date,reason,candidate_contracts,log_status
BANKNIFTY,2019-04-08,before_first_written,770,warning
BANKNIFTY,2019-04-26,internal_gap,780,warning
BANKNIFTY,2021-01-11,internal_gap,1602,warning
BANKNIFTY,2021-02-10,internal_gap,1588,warning
BANKNIFTY,2021-05-14,internal_gap,1336,warning
BANKNIFTY,2021-07-09,internal_gap,1318,warning
BANKNIFTY,2021-07-26,internal_gap,1332,warning
BANKNIFTY,2021-08-04,internal_gap,1324,warning
BANKNIFTY,2021-09-06,internal_gap,1408,warning
BANKNIFTY,2021-09-23,internal_gap,1584,warning
BANKNIFTY,2021-10-11,internal_gap,1458,warning
BANKNIFTY,2021-11-10,internal_gap,1512,warning
BANKNIFTY,2021-12-28,internal_gap,1562,warning
BANKNIFTY,2022-02-01,internal_gap,1624,warning
BANKNIFTY,2022-03-08,internal_gap,1550,warning
BANKNIFTY,2022-06-03,internal_gap,1428,warning
BANKNIFTY,2022-09-21,internal_gap,1436,warning
BANKNIFTY,2022-09-28,internal_gap,1430,warning
BANKNIFTY,2022-10-03,internal_gap,1364,warning
BANKNIFTY,2022-10-12,internal_gap,1322,warning
BANKNIFTY,2022-10-18,internal_gap,1316,warning
BANKNIFTY,2022-11-22,internal_gap,1294,warning
BANKNIFTY,2022-12-13,internal_gap,1368,warning
BANKNIFTY,2023-03-08,internal_gap,1366,warning
BANKNIFTY,2023-03-10,internal_gap,1358,warning
BANKNIFTY,2023-04-11,internal_gap,1266,warning
BANKNIFTY,2023-07-25,internal_gap,1318,warning
BANKNIFTY,2023-08-08,internal_gap,1284,warning
BANKNIFTY,2023-09-04,internal_gap,1314,warning
BANKNIFTY,2023-09-05,internal_gap,1314,warning
BANKNIFTY,2023-09-06,internal_gap,1436,warning
BANKNIFTY,2023-09-07,internal_gap,1436,warning
BANKNIFTY,2023-09-08,internal_gap,1314,warning
BANKNIFTY,2023-09-11,internal_gap,1314,warning
BANKNIFTY,2023-09-12,internal_gap,1314,warning
BANKNIFTY,2023-09-13,internal_gap,1438,warning
BANKNIFTY,2023-09-14,internal_gap,1438,warning
BANKNIFTY,2023-10-30,internal_gap,1368,warning
BANKNIFTY,2023-12-15,internal_gap,1430,warning
BANKNIFTY,2023-12-22,internal_gap,1430,warning
BANKNIFTY,2024-01-18,internal_gap,1462,warning
BANKNIFTY,2024-02-08,internal_gap,1612,warning
BANKNIFTY,2024-09-20,internal_gap,2104,warning
BANKNIFTY,2024-11-19,internal_gap,498,warning
