entry_date,entry_time,exit_date,exit_time,strike,opt_type,entry_price,exit_price,pnl,pnl_pct,hold_duration_minutes,exit_reason,sq0_at_entry,sq0_peak
2025-08-19,12:29:01,2025-08-19,12:29:02,25000.0,CE,189.0,188.8,-0.20,-0.11,0,stop_loss,1425,22500
2025-08-19,12:32:01,2025-08-19,12:32:02,25000.0,CE,192.0,191.45,-0.55,-0.29,0,stop_loss,825,6375
2025-08-19,12:32:37,2025-08-19,12:32:46,25000.0,CE,188.8,188.75,-0.05,-0.03,0,stop_loss,675,975
2025-08-19,12:35:03,2025-08-19,12:35:04,25000.0,CE,191.0,190.0,-1.00,-0.52,0,stop_loss,3450,5025
2025-08-19,12:35:20,2025-08-19,12:35:22,25000.0,CE,190.0,189.8,-0.20,-0.11,0,stop_loss,1800,3450
2025-08-19,12:35:50,2025-08-19,12:35:51,25000.0,CE,190.65,190.55,-0.10,-0.05,0,stop_loss,975,1800
2025-08-19,12:57:51,2025-08-19,12:57:54,25000.0,CE,186.8,186.7,-0.10,-0.05,0,stop_loss,1050,18675
2025-08-19,12:59:58,2025-08-19,12:59:59,25000.0,CE,183.0,182.8,-0.20,-0.11,0,stop_loss,1200,1800
2025-08-20,10:04:19,2025-08-20,10:04:21,25000.0,CE,155.3,155.15,-0.15,-0.10,0,stop_loss,1050,8025
2025-08-20,10:04:44,2025-08-20,10:04:45,25000.0,CE,155.0,154.75,-0.25,-0.16,0,stop_loss,1650,4725
2025-08-20,10:05:35,2025-08-20,10:05:36,25000.0,CE,155.25,154.75,-0.50,-0.32,0,stop_loss,600,3450
2025-08-20,10:09:36,2025-08-20,10:09:37,25000.0,CE,154.0,153.5,-0.50,-0.32,0,stop_loss,1275,1950
2025-08-20,10:17:57,2025-08-20,10:17:58,25000.0,CE,162.0,161.55,-0.45,-0.28,0,stop_loss,1800,6600
2025-08-20,10:18:02,2025-08-20,10:18:04,25000.0,CE,162.3,162.05,-0.25,-0.15,0,stop_loss,1125,1800
2025-08-20,10:18:57,2025-08-20,10:19:01,25000.0,CE,160.7,160.2,-0.50,-0.31,0,stop_loss,1050,2325
2025-08-20,10:20:28,2025-08-20,10:20:29,25000.0,CE,161.3,160.7,-0.60,-0.37,0,stop_loss,975,1575
2025-08-20,10:28:46,2025-08-20,10:31:00,25000.0,CE,158.55,158.45,-0.10,-0.06,2,stop_loss,1125,5625
2025-08-20,10:33:32,2025-08-20,10:33:33,25000.0,CE,158.85,158.3,-0.55,-0.35,0,stop_loss,1425,7125
2025-08-20,10:35:24,2025-08-20,10:35:25,25000.0,CE,161.75,161.05,-0.70,-0.43,0,stop_loss,825,3600
2025-08-20,10:36:56,2025-08-20,10:36:57,25000.0,CE,165.1,165.0,-0.10,-0.06,0,stop_loss,1125,5700
2025-08-20,10:37:07,2025-08-20,10:37:54,25000.0,CE,167.5,167.0,-0.50,-0.30,0,stop_loss,900,1350
2025-08-20,10:38:32,2025-08-20,10:38:33,25000.0,CE,168.1,167.75,-0.35,-0.21,0,stop_loss,975,11850
2025-08-20,10:39:32,2025-08-20,10:39:33,25000.0,CE,169.3,169.0,-0.30,-0.18,0,stop_loss,1500,11250
2025-08-20,10:41:52,2025-08-20,10:41:57,25000.0,CE,167.6,167.25,-0.35,-0.21,0,stop_loss,825,3375
2025-08-20,10:48:09,2025-08-20,10:48:15,25000.0,CE,169.0,168.9,-0.10,-0.06,0,stop_loss,1875,7050
2025-08-20,10:48:43,2025-08-20,10:48:44,25000.0,CE,170.25,169.9,-0.35,-0.21,0,stop_loss,825,5325
2025-08-20,10:50:05,2025-08-20,10:50:06,25000.0,CE,173.5,173.35,-0.15,-0.09,0,stop_loss,1050,7275
2025-08-20,10:51:51,2025-08-20,10:51:53,25000.0,CE,169.95,169.9,-0.05,-0.03,0,stop_loss,900,1800
2025-08-20,10:51:54,2025-08-20,10:51:55,25000.0,CE,170.05,170.0,-0.05,-0.03,0,stop_loss,900,1650
2025-08-20,10:52:59,2025-08-20,10:53:00,25000.0,CE,167.05,166.3,-0.75,-0.45,0,stop_loss,1050,1725
2025-08-20,10:54:17,2025-08-20,10:54:20,25000.0,CE,164.7,164.4,-0.30,-0.18,0,stop_loss,975,1425
2025-08-20,10:57:12,2025-08-20,10:57:20,25000.0,CE,163.75,163.7,-0.05,-0.03,0,stop_loss,975,7125
2025-08-20,10:59:06,2025-08-20,10:59:07,25000.0,CE,159.5,159.15,-0.35,-0.22,0,stop_loss,825,1500
2025-08-20,10:59:23,2025-08-20,10:59:25,25000.0,CE,158.65,158.35,-0.30,-0.19,0,stop_loss,975,1575
2025-08-20,11:06:20,2025-08-20,11:06:21,25000.0,CE,165.0,164.6,-0.40,-0.24,0,stop_loss,900,5475
2025-08-20,11:09:06,2025-08-20,11:09:07,25000.0,CE,169.6,169.15,-0.45,-0.27,0,stop_loss,1650,2850
2025-08-20,11:09:47,2025-08-20,11:09:48,25000.0,CE,167.9,167.55,-0.35,-0.21,0,stop_loss,1050,1650
2025-08-20,11:10:14,2025-08-20,11:10:18,25000.0,CE,168.7,168.25,-0.45,-0.27,0,stop_loss,825,1425
2025-08-20,11:10:24,2025-08-20,11:10:25,25000.0,CE,169.4,169.2,-0.20,-0.12,0,stop_loss,825,1500
2025-08-20,11:11:39,2025-08-20,11:11:41,25000.0,CE,170.0,169.6,-0.40,-0.24,0,stop_loss,3225,5400
2025-08-20,11:15:18,2025-08-20,11:15:19,25050.0,CE,156.0,154.95,-1.05,-0.67,0,stop_loss,900,5925
2025-08-20,11:17:50,2025-08-20,11:17:51,25000.0,CE,180.0,179.5,-0.50,-0.28,0,stop_loss,1275,3000
2025-08-20,11:18:24,2025-08-20,11:18:25,25000.0,CE,180.0,179.35,-0.65,-0.36,0,stop_loss,1125,1950
2025-08-20,11:22:20,2025-08-20,11:22:23,25000.0,CE,179.2,179.0,-0.20,-0.11,0,stop_loss,750,3450
2025-08-20,11:25:32,2025-08-20,11:25:34,25000.0,CE,173.95,173.9,-0.05,-0.03,0,stop_loss,975,1725
2025-08-20,11:29:26,2025-08-20,11:29:27,25000.0,CE,178.95,178.6,-0.35,-0.20,0,stop_loss,975,4050
2025-08-20,11:29:36,2025-08-20,11:29:37,25000.0,CE,180.0,179.5,-0.50,-0.28,0,stop_loss,4350,6600
2025-08-20,11:39:04,2025-08-20,11:39:05,25000.0,CE,175.5,174.65,-0.85,-0.48,0,stop_loss,975,4350
2025-08-20,12:08:44,2025-08-20,12:08:45,25050.0,CE,154.8,154.35,-0.45,-0.29,0,stop_loss,1650,5250
2025-08-20,12:08:52,2025-08-20,12:08:59,25050.0,CE,155.55,155.45,-0.10,-0.06,0,stop_loss,1425,2100
2025-08-20,12:14:19,2025-08-20,12:14:24,25050.0,CE,160.6,160.05,-0.55,-0.34,0,stop_loss,1200,3300
2025-08-20,12:43:37,2025-08-20,12:43:38,25050.0,CE,159.95,159.85,-0.10,-0.06,0,stop_loss,1350,5550
2025-08-20,12:43:43,2025-08-20,12:43:45,25050.0,CE,160.15,159.65,-0.50,-0.31,0,stop_loss,900,1350
2025-08-20,12:51:48,2025-08-20,12:51:50,25050.0,CE,166.0,165.95,-0.05,-0.03,0,stop_loss,2250,4425
2025-08-20,12:52:33,2025-08-20,12:52:34,25050.0,CE,165.4,165.0,-0.40,-0.24,0,stop_loss,975,2250
2025-08-20,12:54:35,2025-08-20,12:54:36,25050.0,CE,165.3,165.0,-0.30,-0.18,0,stop_loss,825,1725
2025-08-20,12:57:59,2025-08-20,12:58:00,25050.0,CE,162.85,162.5,-0.35,-0.21,0,stop_loss,900,1575
2025-08-20,13:03:04,2025-08-20,13:03:05,25050.0,CE,166.65,166.25,-0.40,-0.24,0,stop_loss,675,5175
2025-08-20,13:03:51,2025-08-20,13:03:52,25050.0,CE,166.65,166.25,-0.40,-0.24,0,stop_loss,525,1125
2025-08-20,13:13:55,2025-08-20,13:13:59,25050.0,CE,162.6,162.5,-0.10,-0.06,0,stop_loss,1200,34800
2025-08-20,13:15:30,2025-08-20,13:15:33,25050.0,CE,161.9,161.75,-0.15,-0.09,0,stop_loss,1050,1800
2025-08-20,13:16:32,2025-08-20,13:16:33,25050.0,CE,162.8,162.5,-0.30,-0.18,0,stop_loss,825,1650
2025-08-20,13:18:03,2025-08-20,13:18:05,25050.0,CE,166.0,165.8,-0.20,-0.12,0,stop_loss,1350,1950
2025-08-20,13:18:47,2025-08-20,13:18:48,25050.0,CE,166.0,165.5,-0.50,-0.30,0,stop_loss,1500,3150
2025-08-20,13:19:28,2025-08-20,13:19:29,25050.0,CE,165.0,164.8,-0.20,-0.12,0,stop_loss,1125,1875
2025-08-20,13:51:20,2025-08-20,13:51:21,25050.0,CE,164.7,164.6,-0.10,-0.06,0,stop_loss,1125,7275
2025-08-20,13:53:15,2025-08-20,13:53:16,25050.0,CE,164.2,164.15,-0.05,-0.03,0,stop_loss,1050,1575
2025-08-20,13:55:14,2025-08-20,13:55:21,25050.0,CE,162.4,162.0,-0.40,-0.25,0,stop_loss,750,1200
