entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:20:00,2025-08-01,10:50:00,55900.0,55900.0,756.75,631.7,860.0,554.2,1388.45,1414.2,-25.75,90,time_limit
2025-08-01,13:00:00,2025-08-01,14:30:00,55800.0,55800.0,800.0,591.25,757.0,642.0,1391.25,1399.0,-7.75,90,time_limit
2025-08-04,09:20:00,2025-08-04,10:50:00,55700.0,55700.0,783.0,581.1,691.55,692.25,1364.1,1383.8,-19.700000000000045,90,time_limit
2025-08-04,13:00:00,2025-08-04,14:30:00,55600.0,55600.0,818.5,561.6,803.55,566.15,1380.1,1369.6999999999998,10.400000000000091,90,time_limit
2025-08-04,09:20:00,2025-08-04,10:50:00,55700.0,55700.0,1252.7,850.9,1250.0,829.15,2103.6,2079.15,24.449999999999818,90,time_limit
2025-08-04,13:00:00,2025-08-04,14:30:00,55600.0,55700.0,1332.0,824.95,1285.95,823.85,2156.95,2109.8,47.149999999999636,90,time_limit
2025-08-05,09:20:00,2025-08-05,10:50:00,55600.0,55600.0,732.75,586.4,687.6,639.55,1319.15,1327.15,-8.0,90,time_limit
2025-08-05,13:00:00,2025-08-05,14:30:00,55400.0,55400.0,784.8,546.85,700.45,620.9,1331.65,1321.35,10.300000000000182,90,time_limit
2025-08-05,13:00:00,2025-08-05,14:30:00,55400.0,55400.0,1293.05,757.0,1184.75,850.3,2050.05,2035.05,15.000000000000227,90,time_limit
2025-08-06,09:20:00,2025-08-06,10:50:00,55400.0,55400.0,731.45,565.0,672.15,594.25,1296.45,1266.4,30.049999999999955,90,time_limit
2025-08-06,13:00:00,2025-08-06,14:30:00,55400.0,55400.0,732.0,522.4,718.3,532.45,1254.4,1250.75,3.650000000000091,90,time_limit
2025-08-06,09:20:00,2025-08-06,10:50:00,55400.0,55400.0,1218.9,779.0,1177.8,825.85,1997.9,2003.65,-5.75,90,time_limit
2025-08-06,13:00:00,2025-08-06,14:30:00,55400.0,55400.0,1220.1,746.0,1248.85,730.0,1966.1,1978.85,-12.75,90,time_limit
2025-08-07,09:20:00,2025-08-07,10:50:00,55300.0,55300.0,712.55,517.05,607.9,619.0,1229.6,1226.9,2.699999999999818,90,time_limit
2025-08-07,13:00:00,2025-08-07,14:30:00,55100.0,55100.0,734.95,499.5,781.2,452.0,1234.45,1233.2,1.25,90,time_limit
2025-08-07,09:20:00,2025-08-07,10:50:00,55300.0,55300.0,1231.7,751.25,1116.75,849.2,1982.95,1965.95,17.0,90,time_limit
2025-08-07,13:00:00,2025-08-07,14:30:00,55100.0,55100.0,1278.1,717.15,1319.85,744.6,1995.25,2064.45,-69.19999999999982,90,time_limit
2025-08-08,09:20:00,2025-08-08,10:50:00,55500.0,55500.0,652.15,498.3,542.4,635.0,1150.45,1177.4,-26.950000000000045,90,time_limit
2025-08-08,13:00:00,2025-08-08,14:30:00,55200.0,55200.0,698.7,477.25,643.55,535.0,1175.95,1178.55,-2.599999999999909,90,time_limit
2025-08-08,09:20:00,2025-08-08,10:50:00,55500.0,55500.0,1178.0,746.35,1049.0,859.0,1924.35,1908.0,16.34999999999991,90,time_limit
2025-08-08,13:00:00,2025-08-08,14:30:00,55200.0,55200.0,1219.2,697.5,1158.5,759.6,1916.7,1918.1,-1.3999999999998636,90,time_limit
2025-08-11,09:20:00,2025-08-11,10:50:00,55100.0,55100.0,650.45,522.05,751.4,433.85,1172.5,1185.25,-12.75,90,time_limit
2025-08-11,13:00:00,2025-08-11,14:30:00,55300.0,55300.0,625.65,503.6,677.0,446.8,1129.25,1123.8,5.4500000000000455,90,time_limit
2025-08-11,09:20:00,2025-08-11,10:50:00,55100.0,55100.0,1184.8,773.3,1271.5,680.0,1958.1,1951.5,6.599999999999909,90,time_limit
2025-08-11,13:00:00,2025-08-11,14:30:00,55200.0,55300.0,1205.0,769.0,1262.0,706.0,1974.0,1968.0,6.0,90,time_limit
2025-08-12,09:20:00,2025-08-12,10:50:00,55300.0,55300.0,618.75,458.2,627.25,476.85,1076.95,1104.1,-27.149999999999864,90,time_limit
2025-08-12,13:00:00,2025-08-12,14:30:00,55300.0,55300.0,642.0,434.9,575.05,501.4,1076.9,1076.4499999999998,0.45000000000027285,90,time_limit
2025-08-12,09:20:00,2025-08-12,10:50:00,55300.0,55200.0,1161.55,680.15,1175.0,701.05,1841.6999999999998,1876.05,-34.350000000000136,90,time_limit
2025-08-12,13:00:00,2025-08-12,14:30:00,55300.0,55300.0,1183.5,703.95,1110.45,762.95,1887.45,1873.4,14.049999999999955,90,time_limit
2025-08-13,09:20:00,2025-08-13,10:50:00,55200.0,55200.0,644.0,428.3,609.95,453.7,1072.3,1063.65,8.649999999999864,90,time_limit
2025-08-13,13:00:00,2025-08-13,14:30:00,55200.0,55200.0,643.5,401.05,644.9,399.2,1044.55,1044.1,0.4500000000000455,90,time_limit
2025-08-13,09:20:00,2025-08-13,10:50:00,55200.0,55200.0,1200.0,711.05,1150.35,736.85,1911.05,1887.1999999999998,23.850000000000136,90,time_limit
2025-08-13,13:00:00,2025-08-13,14:30:00,55200.0,55200.0,1204.2,678.1,1194.45,690.0,1882.3000000000002,1884.45,-2.1499999999998636,90,time_limit
2025-08-14,09:20:00,2025-08-14,10:50:00,55200.0,55200.0,600.0,413.0,692.85,349.55,1013.0,1042.4,-29.40000000000009,90,time_limit
2025-08-14,13:00:00,2025-08-14,14:30:00,55400.0,55400.0,594.25,401.0,532.2,452.6,995.25,984.8000000000001,10.449999999999932,90,time_limit
2025-08-14,09:20:00,2025-08-14,10:50:00,55200.0,55100.0,1180.6,645.8,1239.9,594.2,1826.3999999999999,1834.1000000000001,-7.700000000000273,90,time_limit
2025-08-14,13:00:00,2025-08-14,14:30:00,55400.0,55400.0,1140.0,689.0,1099.95,734.45,1829.0,1834.4,-5.400000000000091,90,time_limit
2025-08-18,09:20:00,2025-08-18,10:50:00,56000.0,56000.0,498.1,391.35,511.0,383.0,889.45,894.0,-4.5499999999999545,90,time_limit
2025-08-18,13:00:00,2025-08-18,14:30:00,55800.0,55800.0,484.1,401.85,480.05,404.2,885.95,884.25,1.7000000000000455,90,time_limit
2025-08-18,09:20:00,2025-08-18,10:50:00,56000.0,56000.0,1084.15,711.4,1089.75,681.4,1795.5500000000002,1771.15,24.40000000000009,90,time_limit
2025-08-18,13:00:00,2025-08-18,14:30:00,55800.0,55800.0,1073.1,685.0,1063.0,676.8,1758.1,1739.8,18.299999999999955,90,time_limit
2025-08-19,09:20:00,2025-08-19,10:50:00,55700.0,55700.0,492.9,332.85,474.55,314.25,825.75,788.8,36.950000000000045,90,time_limit
2025-08-19,13:00:00,2025-08-19,14:30:00,55900.0,55900.0,440.95,335.75,411.85,337.7,776.7,749.55,27.15000000000009,90,time_limit
2025-08-19,09:20:00,2025-08-19,10:50:00,55700.0,55700.0,1092.3,630.0,1060.0,618.15,1722.3,1678.15,44.149999999999864,90,time_limit
