entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-20,09:30:00,2025-08-20,15:09:59,24950.0,24950.0,155.0,138.3,228.7,82.55,-17.94999999999999,339,time_limit
2025-08-21,09:30:00,2025-08-21,15:09:59,25050.0,25050.0,164.4,109.9,166.4,86.7,21.19999999999999,339,time_limit
2025-08-22,09:30:00,2025-08-22,15:09:59,25000.0,25000.0,119.15,116.9,70.65,170.9,-5.5,339,time_limit
2025-08-25,09:30:00,2025-08-25,15:09:59,24950.0,24950.0,99.7,85.6,97.4,60.2,27.69999999999999,339,time_limit
2025-08-26,09:30:00,2025-08-26,15:09:59,24800.0,24800.0,84.3,72.9,41.8,103.8,11.599999999999994,339,time_limit
2025-08-28,09:30:00,2025-08-28,10:36:12,24550.0,24550.0,45.7,53.55,105.9,18.25,-24.900000000000006,66,stop_loss
2025-09-18,09:30:00,2025-09-18,15:09:59,25450.0,25450.0,186.4,124.75,185.6,116.6,8.949999999999989,339,time_limit
2025-10-17,09:30:00,2025-10-17,15:09:59,25600.0,25600.0,206.85,143.8,271.45,108.95,-29.75,339,time_limit
2025-10-20,09:30:00,2025-10-20,15:09:58,25900.0,25900.0,169.9,136.9,150.95,129.35,26.500000000000057,339,time_limit
2025-10-28,09:30:00,2025-10-28,10:31:58,26000.0,26000.0,68.9,61.45,26.75,137.55,-33.94999999999999,61,stop_loss
2025-11-18,09:30:00,2025-11-18,15:09:59,25950.0,25950.0,192.1,148.35,161.25,161.6,17.599999999999966,339,time_limit
2025-11-19,09:30:00,2025-11-19,15:09:59,25900.0,25900.0,166.6,132.9,246.0,79.7,-26.19999999999999,339,time_limit
2025-11-20,09:30:00,2025-11-20,15:09:59,26100.0,26100.0,142.4,119.0,189.0,74.6,-2.2000000000000455,339,time_limit
2025-11-21,09:30:00,2025-11-21,15:09:59,26150.0,26150.0,125.6,105.1,75.05,138.85,16.80000000000001,339,time_limit
2025-11-25,09:30:00,2025-11-25,10:14:00,25950.0,25950.0,56.6,47.75,109.2,22.85,-27.700000000000017,44,stop_loss
