entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-07,11:30:00,2025-08-07,13:29:59,55100.0,55100.0,738.9,513.0,667.5,563.8,20.600000000000136,119,time_limit
2025-08-13,11:30:00,2025-08-13,13:29:59,55100.0,55100.0,648.55,419.15,669.0,389.3,9.399999999999864,119,time_limit
2025-08-19,11:30:00,2025-08-19,13:29:59,55800.0,55800.0,454.1,321.7,486.55,303.0,-13.75,119,time_limit
2025-09-01,11:30:00,2025-09-01,13:29:59,53800.0,53800.0,940.35,497.75,962.15,466.9,9.049999999999955,119,time_limit
2025-09-09,11:30:00,2025-09-09,13:29:59,54200.0,54200.0,697.0,461.2,698.0,451.85,8.350000000000136,119,time_limit
2025-09-10,11:30:00,2025-09-10,13:29:59,54500.0,54500.0,717.25,411.1,689.85,409.0,29.5,119,time_limit
2025-09-11,11:30:00,2025-09-11,13:29:59,54600.0,54600.0,645.4,426.65,685.9,381.95,4.2000000000000455,119,time_limit
2025-09-15,11:30:00,2025-09-15,13:29:59,55000.0,55000.0,526.4,387.3,528.5,378.0,7.2000000000000455,119,time_limit
2025-09-18,11:30:00,2025-09-18,13:29:59,55800.0,55800.0,460.05,312.65,367.2,381.4,24.100000000000136,119,time_limit
2025-09-22,11:30:00,2025-09-22,13:29:59,55500.0,55500.0,464.25,234.6,467.9,221.45,9.500000000000114,119,time_limit
2025-09-23,11:30:00,2025-09-23,13:29:59,55200.0,55200.0,443.35,250.4,654.05,143.75,-104.04999999999995,119,time_limit
2025-09-24,11:30:00,2025-09-24,13:29:59,55100.0,55100.0,379.0,210.55,443.95,151.0,-5.400000000000091,119,time_limit
2025-09-30,11:30:00,2025-09-30,13:29:58,54600.0,54600.0,131.8,109.4,118.0,56.3,66.9,119,time_limit
2025-10-16,11:30:00,2025-10-16,13:29:59,57100.0,57100.0,515.3,378.75,663.0,299.4,-68.35000000000002,119,time_limit
2025-10-27,11:30:00,2025-10-27,13:29:59,58100.0,58100.0,244.0,169.6,161.85,205.9,45.85000000000002,119,time_limit
2025-11-04,11:30:00,2025-11-04,13:29:59,58000.0,58000.0,772.8,590.7,775.0,571.4,17.09999999999991,119,time_limit
2025-11-10,11:30:00,2025-11-10,13:29:59,58100.0,58100.0,697.0,451.0,685.85,447.75,14.400000000000091,119,time_limit
2025-11-12,11:30:00,2025-11-12,13:29:59,58300.0,58300.0,651.9,395.65,686.0,361.3,0.25,119,time_limit
2025-11-17,11:30:00,2025-11-17,13:29:59,58900.0,58900.0,461.2,406.5,487.45,373.4,6.850000000000136,119,time_limit
2025-11-18,11:30:00,2025-11-18,13:29:59,59000.0,59000.0,420.0,403.0,438.6,372.95,11.450000000000045,119,time_limit
2025-11-20,11:30:00,2025-11-20,13:29:48,59200.0,59200.0,1077.95,652.0,1150.0,605.0,-25.049999999999955,119,time_limit
