entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-22,11:30:00,2025-08-22,13:29:59,24900.0,24900.0,140.35,93.2,139.35,87.7,6.5,119,time_limit
2025-08-25,11:30:00,2025-08-25,13:29:59,24950.0,24950.0,94.25,74.25,109.55,57.5,1.4499999999999886,119,time_limit
2025-08-26,11:30:00,2025-08-26,13:29:59,24850.0,24850.0,58.4,75.95,44.4,90.3,-0.3499999999999943,119,time_limit
2025-09-18,11:30:00,2025-09-18,13:29:59,25450.0,25450.0,192.0,121.5,159.4,143.25,10.850000000000023,119,time_limit
2025-09-22,11:30:00,2025-09-22,13:29:59,25300.0,25300.0,163.3,109.9,165.55,104.25,3.400000000000034,119,time_limit
2025-09-24,11:30:00,2025-09-24,13:29:59,25050.0,25050.0,146.1,83.95,194.35,55.6,-19.899999999999977,119,time_limit
2025-10-16,11:30:00,2025-10-16,13:29:59,25450.0,25450.0,223.1,124.5,269.05,105.3,-26.75,119,time_limit
2025-11-17,11:30:00,2025-11-17,13:29:59,25950.0,25950.0,202.5,152.0,229.0,126.15,-0.6499999999999773,119,time_limit
2025-11-19,11:30:00,2025-11-19,13:29:59,25950.0,25950.0,153.25,128.05,190.0,105.5,-14.199999999999989,119,time_limit
2025-11-20,11:30:00,2025-11-20,13:29:59,26150.0,26150.0,125.4,122.0,164.0,90.6,-7.199999999999989,119,time_limit
2025-11-24,11:30:00,2025-11-24,13:29:59,26100.0,26100.0,97.8,50.65,69.5,71.75,7.199999999999989,119,time_limit
2025-11-25,11:30:00,2025-11-25,13:29:59,25950.0,25950.0,47.45,35.2,72.2,10.25,0.20000000000000284,119,time_limit
