entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-21,13:30:00,2025-08-21,15:14:59,26000.0,25000.0,2.3,72.45,1.8,68.55,4.400000000000006,104,time_limit
2025-08-26,13:30:00,2025-08-26,13:39:09,25000.0,24800.0,15.4,60.9,15.45,61.15,-0.29999999999999716,9,stop_loss
2025-08-28,13:30:00,2025-08-28,14:47:04,24600.0,24500.0,12.3,11.0,1.9,17.25,4.150000000000002,77,stop_loss
2025-09-18,13:30:00,2025-09-18,15:14:59,26000.0,25000.0,16.2,35.2,18.25,28.7,4.450000000000003,104,time_limit
2025-09-19,13:30:00,2025-09-19,15:14:59,26000.0,25000.0,11.25,34.65,10.8,34.55,0.5500000000000043,104,time_limit
2025-09-22,13:30:00,2025-09-22,15:14:57,26000.0,25000.0,6.55,33.7,5.7,50.45,-15.900000000000006,104,time_limit
2025-09-23,13:30:00,2025-09-23,15:14:59,26000.0,25000.0,4.45,41.95,3.35,41.95,1.1000000000000014,104,time_limit
2025-09-24,13:30:00,2025-09-24,15:14:59,26000.0,25000.0,2.45,43.9,2.15,62.3,-18.1,104,time_limit
2025-09-29,13:30:00,2025-09-29,15:14:59,24800.0,24600.0,34.05,24.7,19.65,29.5,9.600000000000001,104,time_limit
2025-09-30,13:30:00,2025-09-30,14:19:47,24700.0,24600.0,11.95,16.9,2.95,31.45,-5.550000000000001,49,stop_loss
2025-10-16,13:30:00,2025-10-16,15:14:59,26000.0,25000.0,34.65,36.15,42.9,31.05,-3.1500000000000057,104,time_limit
2025-10-17,13:30:00,2025-10-17,15:14:59,26000.0,25000.0,69.5,28.4,68.95,26.4,2.5500000000000114,104,time_limit
2025-10-20,13:30:00,2025-10-20,15:14:59,26000.0,25000.0,117.25,11.0,104.9,8.6,14.75,104,time_limit
2025-10-23,13:30:00,2025-10-23,13:58:40,27000.0,26000.0,2.45,65.35,2.35,82.75,-17.299999999999997,28,stop_loss
2025-10-27,13:30:00,2025-10-27,15:14:59,26000.0,25900.0,63.8,47.9,73.65,32.0,6.049999999999983,104,time_limit
2025-10-28,13:30:00,2025-10-28,13:43:53,26000.0,25900.0,20.3,14.65,6.6,30.0,-1.6499999999999986,13,stop_loss
2025-11-13,13:30:00,2025-11-13,13:41:26,26000.0,25000.0,235.45,20.2,249.45,20.15,-13.949999999999989,11,stop_loss
2025-11-20,13:30:00,2025-11-20,15:14:59,27000.0,26000.0,2.3,49.0,2.15,46.25,2.8999999999999986,104,time_limit
2025-11-21,13:30:00,2025-11-21,15:14:59,26200.0,26000.0,68.65,57.15,55.15,70.9,-0.25,104,time_limit
2025-11-24,13:30:00,2025-11-24,15:02:18,26100.0,26000.0,69.05,35.0,41.45,58.05,4.549999999999997,92,stop_loss
