entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,13:00:00,2025-08-01,13:45:00,56400.0,55200.0,499.0,379.65,496.0,376.0,6.649999999999977,45,time_limit
2025-08-01,13:30:00,2025-08-01,14:15:00,56400.0,55300.0,518.0,393.45,484.1,417.5,9.850000000000023,45,time_limit
2025-08-01,14:00:00,2025-08-01,14:45:00,56300.0,55200.0,527.0,392.8,501.7,417.3,0.7999999999999545,45,time_limit
2025-08-01,14:30:00,2025-08-01,15:15:00,56300.0,55200.0,509.0,413.65,459.6,466.0,-2.9500000000000455,45,time_limit
2025-08-04,13:00:00,2025-08-04,13:45:00,56200.0,55100.0,504.3,387.2,496.0,392.8,2.7000000000000455,45,time_limit
2025-08-04,13:30:00,2025-08-04,14:15:00,56100.0,55000.0,521.95,379.3,543.0,357.0,1.25,45,time_limit
2025-08-04,14:00:00,2025-08-04,14:45:00,56200.0,55100.0,499.0,385.45,486.2,391.2,7.050000000000068,45,time_limit
2025-08-04,14:30:00,2025-08-04,15:15:00,56200.0,55000.0,493.85,361.65,497.05,353.1,5.349999999999909,45,time_limit
2025-08-05,13:00:00,2025-08-05,13:45:00,56000.0,54900.0,480.55,370.3,415.9,441.2,-6.249999999999886,45,time_limit
2025-08-05,13:30:00,2025-08-05,14:15:00,55800.0,54700.0,515.95,356.95,494.5,377.25,1.150000000000091,45,time_limit
2025-08-05,14:00:00,2025-08-05,14:45:00,55800.0,54700.0,502.15,365.9,507.55,353.55,6.949999999999932,45,time_limit
2025-08-05,14:30:00,2025-08-05,15:15:00,55800.0,54700.0,505.0,362.1,528.6,325.8,12.699999999999932,45,time_limit
2025-08-06,13:00:00,2025-08-06,13:45:00,56000.0,54900.0,430.0,348.3,466.25,315.6,-3.550000000000068,45,time_limit
2025-08-06,13:30:00,2025-08-06,14:15:00,56000.0,54900.0,462.65,325.7,434.0,339.95,14.399999999999864,45,time_limit
2025-08-06,14:00:00,2025-08-06,14:45:00,56000.0,54900.0,452.05,324.0,409.85,360.0,6.199999999999932,45,time_limit
2025-08-06,14:30:00,2025-08-06,15:15:00,56000.0,54900.0,419.95,352.05,417.5,360.95,-6.4500000000000455,45,time_limit
2025-08-07,13:00:00,2025-08-07,13:45:00,55700.0,54600.0,434.7,323.85,390.9,377.6,-9.950000000000045,45,time_limit
2025-08-07,13:30:00,2025-08-07,14:15:00,55600.0,54500.0,428.0,343.7,467.0,297.6,7.100000000000023,45,time_limit
2025-08-07,14:00:00,2025-08-07,14:45:00,55600.0,54500.0,435.95,332.75,547.0,242.85,-21.149999999999977,45,time_limit
2025-08-07,14:30:00,2025-08-07,15:15:00,55800.0,54700.0,417.95,319.1,545.6,232.15,-40.700000000000045,45,time_limit
2025-08-08,13:00:00,2025-08-08,13:45:00,55800.0,54700.0,400.0,304.65,381.9,312.75,10.0,45,time_limit
2025-08-08,13:30:00,2025-08-08,14:15:00,55600.0,54500.0,436.75,293.3,444.35,277.7,8.0,45,time_limit
2025-08-08,14:00:00,2025-08-08,14:45:00,55700.0,54600.0,404.6,303.0,416.15,291.8,-0.35000000000002274,45,time_limit
2025-08-08,14:30:00,2025-08-08,15:15:00,55700.0,54600.0,404.75,314.55,360.95,363.2,-4.850000000000023,45,time_limit
2025-08-11,13:00:00,2025-08-11,13:45:00,55800.0,54700.0,384.15,289.15,398.35,270.1,4.849999999999909,45,time_limit
2025-08-11,13:30:00,2025-08-11,14:15:00,55800.0,54700.0,380.45,292.0,416.95,248.3,7.2000000000000455,45,time_limit
2025-08-11,14:00:00,2025-08-11,14:45:00,55900.0,54800.0,361.0,292.1,368.25,281.1,3.75,45,time_limit
2025-08-11,14:30:00,2025-08-11,15:15:00,56000.0,54900.0,336.45,310.7,338.15,296.9,12.100000000000023,45,time_limit
2025-08-12,13:00:00,2025-08-12,13:45:00,55900.0,54800.0,352.9,262.4,319.75,300.05,-4.5,45,time_limit
2025-08-12,13:30:00,2025-08-12,14:15:00,55800.0,54700.0,369.0,258.1,348.1,283.95,-4.949999999999932,45,time_limit
2025-08-12,14:00:00,2025-08-12,14:45:00,55800.0,54700.0,373.4,244.4,333.45,294.85,-10.5,45,time_limit
2025-08-12,14:30:00,2025-08-12,15:15:00,55700.0,54600.0,387.0,248.8,365.0,268.85,1.9499999999999318,45,time_limit
2025-08-13,13:00:00,2025-08-13,13:45:00,55800.0,54700.0,343.5,239.55,330.0,248.6,4.449999999999932,45,time_limit
2025-08-13,13:30:00,2025-08-13,14:15:00,55700.0,54600.0,362.25,231.75,394.65,207.15,-7.7999999999999545,45,time_limit
2025-08-13,14:00:00,2025-08-13,14:45:00,55800.0,54700.0,351.0,229.95,354.0,228.0,-1.0499999999999545,45,time_limit
2025-08-13,14:30:00,2025-08-13,15:15:00,55700.0,54600.0,385.2,215.0,377.0,216.75,6.4500000000000455,45,time_limit
2025-08-14,13:00:00,2025-08-14,13:45:00,56000.0,54900.0,306.0,237.0,279.6,253.35,10.049999999999955,45,time_limit
2025-08-14,13:30:00,2025-08-14,14:15:00,55900.0,54800.0,304.55,237.0,308.35,231.8,1.3999999999998636,45,time_limit
2025-08-14,14:00:00,2025-08-14,14:45:00,55900.0,54800.0,315.0,226.5,308.25,232.2,1.0499999999999545,45,time_limit
2025-08-14,14:30:00,2025-08-14,15:15:00,55900.0,54800.0,302.0,241.4,315.45,232.6,-4.649999999999977,45,time_limit
2025-08-18,13:00:00,2025-08-18,13:45:00,56400.0,55200.0,227.15,196.55,221.8,201.05,0.8500000000000227,45,time_limit
2025-08-18,13:30:00,2025-08-18,14:15:00,56300.0,55200.0,252.1,205.0,250.8,201.2,5.100000000000023,45,time_limit
2025-08-18,14:00:00,2025-08-18,14:45:00,56300.0,55100.0,247.25,182.65,250.2,164.3,15.399999999999977,45,time_limit
2025-08-18,14:30:00,2025-08-18,15:15:00,56300.0,55200.0,259.05,196.4,239.45,192.55,23.450000000000045,45,time_limit
2025-08-19,13:00:00,2025-08-19,13:45:00,56500.0,55300.0,183.15,150.9,168.5,153.0,12.550000000000011,45,time_limit
2025-08-19,13:30:00,2025-08-19,14:15:00,56500.0,55300.0,175.85,154.65,152.0,161.25,17.25,45,time_limit
2025-08-19,14:00:00,2025-08-19,14:45:00,56300.0,55200.0,213.25,140.75,223.75,127.4,2.8500000000000227,45,time_limit
2025-08-19,14:30:00,2025-08-19,15:15:00,56500.0,55300.0,165.25,146.9,160.85,146.15,5.149999999999977,45,time_limit
2025-08-20,13:00:00,2025-08-20,13:45:00,56300.0,55200.0,170.25,133.05,156.4,138.8,8.099999999999966,45,time_limit
2025-08-20,13:30:00,2025-08-20,14:15:00,56200.0,55100.0,183.1,122.3,202.55,107.35,-4.5,45,time_limit
2025-08-20,14:00:00,2025-08-20,14:45:00,56300.0,55200.0,163.9,134.25,164.05,130.4,3.699999999999932,45,time_limit
2025-08-20,14:30:00,2025-08-20,15:15:00,56300.0,55100.0,161.1,116.0,157.2,115.85,4.050000000000068,45,time_limit
2025-08-21,13:00:00,2025-08-21,13:45:00,56400.0,55300.0,140.0,100.75,123.0,110.9,6.849999999999994,45,time_limit
2025-08-21,13:30:00,2025-08-21,14:15:00,56300.0,55200.0,158.2,91.7,169.65,76.85,3.3999999999999773,45,time_limit
2025-08-21,14:00:00,2025-08-21,14:45:00,56300.0,55200.0,163.0,81.7,158.0,75.9,10.799999999999983,45,time_limit
2025-08-21,14:30:00,2025-08-21,15:14:59,56400.0,55300.0,140.7,86.0,112.3,102.35,12.050000000000011,44,time_limit
2025-08-22,13:00:00,2025-08-22,13:45:00,55900.0,54800.0,103.15,83.7,106.85,77.15,2.8500000000000227,45,time_limit
2025-08-22,13:30:00,2025-08-22,14:15:00,55900.0,54800.0,103.35,81.1,94.45,88.35,1.6499999999999773,45,time_limit
2025-08-22,14:00:00,2025-08-22,14:45:00,55900.0,54800.0,101.35,83.35,82.1,108.5,-5.900000000000006,45,time_limit
2025-08-22,14:30:00,2025-08-22,15:15:00,55800.0,54600.0,99.45,77.0,100.25,74.3,1.8999999999999773,45,time_limit
