entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:20:00,2025-08-01,09:35:00,55900.0,55900.0,756.75,631.7,776.95,607.0,4.5,15,time_limit
2025-08-01,10:30:00,2025-08-01,10:45:00,56100.0,56100.0,756.9,633.25,755.15,629.2,5.800000000000182,15,time_limit
2025-08-01,12:00:00,2025-08-01,12:15:00,55800.0,55800.0,814.95,586.15,805.95,599.15,-4.0,15,time_limit
2025-08-01,13:30:00,2025-08-01,13:45:00,55900.0,55900.0,768.45,610.0,740.6,630.0,7.850000000000136,15,time_limit
2025-08-04,09:20:00,2025-08-04,09:35:00,55700.0,55700.0,783.0,581.1,786.35,585.95,-8.200000000000273,15,time_limit
2025-08-04,10:30:00,2025-08-04,10:45:00,55600.0,55600.0,780.55,619.45,795.9,601.25,2.849999999999909,15,time_limit
2025-08-04,12:00:00,2025-08-04,12:15:00,55700.0,55700.0,775.0,595.1,768.0,600.6,1.5,15,time_limit
2025-08-04,13:30:00,2025-08-04,13:45:00,55600.0,55600.0,778.4,591.3,804.5,571.35,-6.150000000000091,15,time_limit
2025-08-05,09:20:00,2025-08-05,09:35:00,55600.0,55600.0,732.75,586.4,748.7,573.5,-3.0499999999999545,15,time_limit
2025-08-05,10:30:00,2025-08-05,10:45:00,55400.0,55400.0,819.95,540.95,801.0,554.65,5.25,15,time_limit
2025-08-05,12:00:00,2025-08-05,12:15:00,55400.0,55400.0,787.25,548.0,819.6,515.95,-0.3000000000001819,15,time_limit
2025-08-05,13:30:00,2025-08-05,13:45:00,55300.0,55300.0,773.85,567.95,746.3,595.65,-0.1499999999996362,15,time_limit
2025-08-06,09:20:00,2025-08-06,09:35:00,55400.0,55400.0,731.45,565.0,770.0,539.95,-13.5,15,time_limit
2025-08-06,10:30:00,2025-08-06,10:45:00,55400.0,55400.0,714.0,547.05,662.0,598.85,0.20000000000004547,15,time_limit
2025-08-06,12:00:00,2025-08-06,12:15:00,55300.0,55300.0,739.3,536.65,757.45,518.4,0.09999999999990905,15,time_limit
2025-08-06,13:30:00,2025-08-06,13:45:00,55500.0,55500.0,716.0,529.15,723.85,518.7,2.599999999999909,15,time_limit
2025-08-07,09:20:00,2025-08-07,09:35:00,55300.0,55300.0,712.55,517.05,702.8,527.15,-0.34999999999990905,15,time_limit
2025-08-07,10:30:00,2025-08-07,10:45:00,55100.0,55100.0,724.4,509.8,726.8,514.25,-6.849999999999909,15,time_limit
2025-08-07,12:00:00,2025-08-07,12:15:00,55100.0,55100.0,737.6,508.65,762.55,485.1,-1.400000000000091,15,time_limit
2025-08-07,13:30:00,2025-08-07,13:45:00,55000.0,55000.0,720.85,524.75,726.4,525.05,-5.849999999999909,15,time_limit
2025-08-08,09:20:00,2025-08-08,09:35:00,55500.0,55500.0,652.15,498.3,630.5,543.5,-23.549999999999955,15,time_limit
2025-08-08,10:30:00,2025-08-08,10:45:00,55300.0,55300.0,679.8,506.55,652.75,527.85,5.75,15,time_limit
2025-08-08,12:00:00,2025-08-08,12:15:00,55100.0,55100.0,729.1,482.35,717.05,485.35,9.049999999999955,15,time_limit
2025-08-08,13:30:00,2025-08-08,13:45:00,55100.0,55100.0,687.25,501.1,729.45,452.7,6.199999999999818,15,time_limit
2025-08-11,09:20:00,2025-08-11,09:35:00,55100.0,55100.0,650.45,522.05,723.25,455.35,-6.099999999999909,15,time_limit
