entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:20:00,2025-08-01,11:20:00,57000.0,54700.0,292.0,263.65,300.25,249.95,5.449999999999932,120,time_limit
2025-08-01,12:00:00,2025-08-01,14:00:00,57000.0,54700.0,293.8,258.5,275.95,265.55,10.799999999999955,120,time_limit
2025-08-04,09:20:00,2025-08-04,11:20:00,56800.0,54600.0,304.85,248.85,284.0,278.65,-8.949999999999932,120,time_limit
2025-08-04,12:00:00,2025-08-04,14:00:00,56800.0,54500.0,298.55,241.0,281.6,241.15,16.799999999999955,120,time_limit
2025-08-05,09:20:00,2025-08-05,11:20:00,56700.0,54400.0,272.75,226.1,255.95,239.6,3.300000000000068,120,time_limit
2025-08-05,12:00:00,2025-08-05,14:00:00,56500.0,54300.0,301.45,224.9,258.1,266.2,2.050000000000068,120,time_limit
2025-08-06,09:20:00,2025-08-06,11:20:00,56500.0,54300.0,265.5,230.0,224.05,249.0,22.44999999999999,120,time_limit
2025-08-06,12:00:00,2025-08-06,14:00:00,56400.0,54200.0,264.0,215.0,304.9,177.0,-2.8999999999999773,120,time_limit
2025-08-07,09:20:00,2025-08-07,11:20:00,56400.0,54200.0,243.45,196.75,213.55,236.05,-9.400000000000034,120,time_limit
2025-08-07,12:00:00,2025-08-07,14:00:00,56200.0,54000.0,266.0,194.85,235.5,212.0,13.350000000000023,120,time_limit
2025-08-08,09:20:00,2025-08-08,11:20:00,56600.0,54400.0,206.45,180.7,165.85,235.0,-13.700000000000045,120,time_limit
2025-08-08,12:00:00,2025-08-08,14:00:00,56200.0,54000.0,250.5,175.9,237.65,172.05,16.699999999999932,120,time_limit
2025-08-11,09:20:00,2025-08-11,11:20:00,56200.0,54000.0,214.2,189.85,250.7,150.05,3.2999999999999545,120,time_limit
2025-08-11,12:00:00,2025-08-11,14:00:00,56300.0,54100.0,206.45,181.75,227.55,145.05,15.599999999999966,120,time_limit
2025-08-12,09:20:00,2025-08-12,11:20:00,56400.0,54200.0,181.25,151.45,188.5,159.75,-15.550000000000011,120,time_limit
2025-08-12,12:00:00,2025-08-12,14:00:00,56400.0,54200.0,193.8,151.7,184.0,143.55,17.94999999999999,120,time_limit
2025-08-13,09:20:00,2025-08-13,11:20:00,56300.0,54100.0,192.7,135.35,181.1,132.4,14.549999999999955,120,time_limit
