entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:20:00,2025-08-01,11:20:00,55900.0,55900.0,756.75,631.7,770.65,612.5,5.2999999999999545,120,time_limit
2025-08-01,13:00:00,2025-08-01,15:00:00,55800.0,55800.0,800.0,591.25,728.0,645.65,17.59999999999991,120,time_limit
2025-08-04,09:20:00,2025-08-04,11:20:00,55700.0,55700.0,783.0,581.1,745.9,630.2,-12.0,120,time_limit
2025-08-04,13:00:00,2025-08-04,15:00:00,55600.0,55600.0,818.5,561.6,812.35,553.9,13.849999999999909,120,time_limit
2025-08-05,09:20:00,2025-08-05,11:20:00,55600.0,55600.0,732.75,586.4,694.75,626.95,-2.5499999999999545,120,time_limit
2025-08-05,13:00:00,2025-08-05,15:00:00,55400.0,55400.0,784.8,546.85,708.6,602.0,21.050000000000182,120,time_limit
2025-08-06,09:20:00,2025-08-06,11:20:00,55400.0,55400.0,731.45,565.0,654.0,610.25,32.200000000000045,120,time_limit
2025-08-06,13:00:00,2025-08-06,15:00:00,55400.0,55400.0,732.0,522.4,702.45,538.5,13.450000000000045,120,time_limit
2025-08-07,09:20:00,2025-08-07,11:20:00,55300.0,55300.0,712.55,517.05,624.15,604.75,0.6999999999998181,120,time_limit
2025-08-07,13:00:00,2025-08-07,15:00:00,55100.0,55100.0,734.95,499.5,862.0,392.4,-19.950000000000045,120,time_limit
2025-08-08,09:20:00,2025-08-08,11:20:00,55500.0,55500.0,652.15,498.3,545.45,621.65,-16.649999999999864,120,time_limit
2025-08-08,13:00:00,2025-08-08,15:00:00,55200.0,55200.0,698.7,477.25,649.1,524.0,2.8500000000001364,120,time_limit
2025-08-11,09:20:00,2025-08-11,11:20:00,55100.0,55100.0,650.45,522.05,747.5,430.05,-5.0499999999999545,120,time_limit
2025-08-11,13:00:00,2025-08-11,15:00:00,55300.0,55300.0,625.65,503.6,675.15,446.1,8.0,120,time_limit
2025-08-12,09:20:00,2025-08-12,11:20:00,55300.0,55300.0,618.75,458.2,615.9,477.7,-16.649999999999864,120,time_limit
