entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,09:50:00,25150.0,24650.0,83.7,66.55,77.15,63.75,9.349999999999994,30,time_limit
2025-08-19,10:00:00,2025-08-19,10:30:00,25150.0,24650.0,81.5,59.55,80.75,55.9,4.400000000000006,30,time_limit
2025-08-19,11:00:00,2025-08-19,11:30:00,25150.0,24700.0,83.65,62.6,86.2,60.25,-0.19999999999998863,30,time_limit
2025-08-19,13:00:00,2025-08-19,13:29:58,25300.0,24700.0,59.45,52.85,56.95,54.0,1.3500000000000085,29,time_limit
2025-08-19,14:00:00,2025-08-19,14:30:00,25200.0,24700.0,74.3,55.55,81.3,50.6,-2.0500000000000114,30,time_limit
2025-08-20,09:20:00,2025-08-20,09:50:00,25200.0,24700.0,59.65,56.8,69.3,49.2,-2.0500000000000114,30,time_limit
2025-08-20,10:00:00,2025-08-20,10:30:00,25250.0,24750.0,54.5,59.4,61.35,55.3,-2.75,30,time_limit
2025-08-20,11:00:00,2025-08-20,11:30:00,25250.0,24750.0,58.0,55.45,68.6,49.25,-4.3999999999999915,30,time_limit
2025-08-20,13:00:00,2025-08-20,13:30:00,25300.0,24800.0,63.1,49.65,54.85,54.65,3.25,30,time_limit
2025-08-20,14:00:00,2025-08-20,14:30:00,25300.0,24800.0,61.55,49.3,60.05,47.7,3.0999999999999943,30,time_limit
2025-08-21,09:20:00,2025-08-21,09:50:00,25350.0,24800.0,46.9,40.05,46.55,37.05,3.3499999999999943,30,time_limit
2025-08-21,10:00:00,2025-08-21,10:29:59,25350.0,24850.0,50.15,41.55,58.35,38.15,-4.800000000000011,29,time_limit
2025-08-21,11:00:00,2025-08-21,11:30:00,25400.0,24900.0,44.1,46.75,41.0,45.15,4.699999999999989,30,time_limit
2025-08-21,13:00:00,2025-08-21,13:30:00,25350.0,24850.0,48.85,36.45,44.7,39.2,1.4000000000000057,30,time_limit
2025-08-21,14:00:00,2025-08-21,14:30:00,25350.0,24850.0,45.9,35.2,47.95,31.95,1.1999999999999886,30,time_limit
2025-08-22,09:20:00,2025-08-22,09:50:00,25250.0,24750.0,37.1,29.6,31.15,42.6,-7.049999999999997,30,time_limit
2025-08-22,10:00:00,2025-08-22,10:30:00,25200.0,24700.0,38.5,35.0,34.0,36.35,3.1500000000000057,30,time_limit
2025-08-22,11:00:00,2025-08-22,11:30:00,25150.0,24650.0,41.6,31.1,41.8,28.85,2.049999999999997,30,time_limit
2025-08-22,13:00:00,2025-08-22,13:29:59,25150.0,24650.0,37.0,28.7,39.45,25.85,0.3999999999999915,29,time_limit
2025-08-22,14:00:00,2025-08-22,14:30:00,25200.0,24700.0,29.0,33.75,26.3,39.55,-3.0999999999999943,30,time_limit
2025-08-25,09:20:00,2025-08-25,09:50:00,25150.0,24650.0,28.95,21.8,29.9,12.5,8.350000000000001,30,time_limit
2025-08-25,10:00:00,2025-08-25,10:30:00,25200.0,24700.0,19.1,20.7,16.2,21.4,2.200000000000003,30,time_limit
2025-08-25,11:00:00,2025-08-25,11:30:00,25200.0,24700.0,18.85,15.35,18.4,14.2,1.6000000000000085,30,time_limit
2025-08-25,13:00:00,2025-08-25,13:30:00,25250.0,24750.0,15.25,13.6,13.45,14.65,0.75,30,time_limit
2025-08-25,14:00:00,2025-08-25,14:30:00,25250.0,24750.0,15.15,13.2,12.55,14.75,1.0500000000000007,30,time_limit
2025-08-26,09:20:00,2025-08-26,09:50:00,25100.0,24600.0,12.9,12.35,9.45,20.75,-4.949999999999999,30,time_limit
2025-08-26,10:00:00,2025-08-26,10:30:00,25050.0,24550.0,12.35,13.45,12.5,12.0,1.2999999999999972,30,time_limit
2025-08-26,11:00:00,2025-08-26,11:30:00,25050.0,24550.0,12.95,12.05,13.8,9.15,2.049999999999997,30,time_limit
2025-08-26,13:00:00,2025-08-26,13:30:00,25050.0,24550.0,10.7,10.3,11.35,9.2,0.45000000000000284,30,time_limit
2025-08-26,14:00:00,2025-08-26,14:30:00,25050.0,24550.0,11.95,9.25,11.2,11.7,-1.6999999999999993,30,time_limit
2025-08-28,09:20:00,2025-08-28,09:50:00,24800.0,24350.0,7.8,4.9,5.85,4.9,1.9499999999999993,30,time_limit
2025-08-28,10:00:00,2025-08-28,10:30:00,24850.0,24350.0,4.6,3.85,3.55,2.85,2.049999999999999,30,time_limit
2025-08-28,11:00:00,2025-08-28,11:30:00,24900.0,24400.0,4.05,3.1,2.85,3.05,1.25,30,time_limit
2025-08-28,13:00:00,2025-08-28,13:30:00,24800.0,24350.0,1.55,1.2,1.55,1.05,0.1499999999999999,30,time_limit
2025-08-28,14:00:00,2025-08-28,14:19:44,24800.0,24300.0,1.55,0.95,1.3,0.45,0.75,19,profit_target
2025-09-18,09:20:00,2025-09-18,09:50:00,25650.0,25150.0,84.75,51.05,88.6,47.6,-0.39999999999997726,30,time_limit
2025-09-18,10:00:00,2025-09-18,10:30:00,25650.0,25150.0,86.3,49.6,88.8,48.65,-1.549999999999983,30,time_limit
2025-09-18,11:00:00,2025-09-18,11:30:00,25700.0,25200.0,75.6,54.25,74.95,54.1,0.799999999999983,30,time_limit
2025-09-18,13:00:00,2025-09-18,13:30:00,25650.0,25150.0,77.0,54.5,74.1,53.65,3.75,30,time_limit
2025-09-18,14:00:00,2025-09-18,14:30:00,25600.0,25100.0,89.0,47.95,86.7,49.8,0.44999999999998863,30,time_limit
2025-09-19,09:20:00,2025-09-19,09:50:00,25650.0,25150.0,56.8,53.5,52.65,66.45,-8.799999999999997,30,time_limit
2025-09-19,10:00:00,2025-09-19,10:30:00,25550.0,25050.0,76.45,51.7,81.55,45.05,1.5500000000000114,30,time_limit
2025-09-19,11:00:00,2025-09-19,11:30:00,25550.0,25050.0,76.5,49.2,75.75,48.15,1.7999999999999972,30,time_limit
2025-09-19,13:00:00,2025-09-19,13:30:00,25550.0,25050.0,77.0,47.2,82.35,41.25,0.6000000000000085,30,time_limit
2025-09-19,14:00:00,2025-09-19,14:30:00,25600.0,25100.0,67.65,45.85,63.85,48.6,1.0499999999999972,30,time_limit
2025-09-22,09:20:00,2025-09-22,09:50:00,25500.0,25000.0,66.9,40.6,81.5,34.35,-8.349999999999994,30,time_limit
2025-09-22,10:00:00,2025-09-22,10:29:59,25550.0,25050.0,65.45,39.55,65.85,38.45,0.7000000000000028,29,time_limit
2025-09-22,11:00:00,2025-09-22,11:30:00,25550.0,25050.0,64.75,39.0,54.0,43.15,6.599999999999994,30,time_limit
2025-09-22,13:00:00,2025-09-22,13:30:00,25550.0,25050.0,56.7,39.8,54.8,39.95,1.75,30,time_limit
2025-09-22,14:00:00,2025-09-22,14:29:59,25500.0,25050.0,65.2,44.6,58.95,47.5,3.3500000000000085,29,time_limit
2025-09-23,09:20:00,2025-09-23,09:49:59,25500.0,24950.0,47.3,36.6,33.55,56.35,-6.0,29,time_limit
2025-09-23,10:00:00,2025-09-23,10:30:00,25400.0,25000.0,55.4,62.6,55.05,62.95,0.0,30,time_limit
2025-09-23,11:00:00,2025-09-23,11:30:00,25350.0,24850.0,68.2,37.15,61.1,39.3,4.949999999999989,30,time_limit
2025-09-23,13:00:00,2025-09-23,13:30:00,25450.0,24950.0,51.3,39.3,58.45,34.75,-2.6000000000000085,30,time_limit
2025-09-23,14:00:00,2025-09-23,14:30:00,25450.0,24950.0,58.95,33.1,61.1,32.05,-1.0999999999999943,30,time_limit
2025-09-24,09:20:00,2025-09-24,09:50:00,25350.0,24850.0,40.0,32.45,35.55,32.1,4.799999999999997,30,time_limit
