entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,10:20:00,25300.0,24550.0,45.4,48.55,44.55,40.45,8.949999999999989,60,time_limit
2025-08-19,11:00:00,2025-08-19,12:00:00,25300.0,24550.0,44.25,38.6,49.6,35.4,-2.1500000000000057,60,time_limit
2025-08-19,13:00:00,2025-08-19,14:00:00,25350.0,24650.0,47.7,45.0,38.4,47.2,7.1000000000000085,60,time_limit
2025-08-20,09:20:00,2025-08-20,10:20:00,25300.0,24550.0,37.65,33.45,47.9,27.15,-3.950000000000003,60,time_limit
2025-08-20,11:00:00,2025-08-20,12:00:00,25350.0,24600.0,36.25,32.3,47.75,27.65,-6.8500000000000085,60,time_limit
2025-08-20,13:00:00,2025-08-20,14:00:00,25450.0,24700.0,31.6,34.6,30.05,34.45,1.7000000000000028,60,time_limit
2025-08-21,09:20:00,2025-08-21,10:20:00,25450.0,24700.0,28.05,27.6,34.05,21.95,-0.3499999999999943,60,time_limit
2025-08-21,11:00:00,2025-08-21,12:00:00,25500.0,24750.0,26.45,26.8,22.15,26.6,4.5,60,time_limit
2025-08-21,13:00:00,2025-08-21,14:00:00,25500.0,24750.0,21.6,24.85,19.55,23.45,3.450000000000003,60,time_limit
2025-08-22,09:20:00,2025-08-22,10:20:00,25400.0,24650.0,15.45,18.55,11.8,30.4,-8.200000000000003,60,time_limit
2025-08-22,11:00:00,2025-08-22,12:00:00,25300.0,24550.0,19.0,20.0,19.6,15.6,3.799999999999997,60,time_limit
2025-08-22,13:00:00,2025-08-22,14:00:00,25300.0,24550.0,16.55,17.9,17.0,16.35,1.1000000000000014,60,time_limit
2025-08-25,09:20:00,2025-08-25,10:20:00,25300.0,24550.0,11.65,12.55,9.35,8.4,6.450000000000003,60,time_limit
2025-08-25,11:00:00,2025-08-25,12:00:00,25300.0,24600.0,9.85,8.55,11.0,6.75,0.6499999999999986,60,time_limit
