entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,10:05:00,25050.0,24800.0,119.1,105.4,114.0,97.25,13.25,45,time_limit
2025-08-19,11:00:00,2025-08-19,11:44:59,25050.0,24800.0,122.25,87.3,132.4,80.6,-3.4499999999999886,44,time_limit
2025-08-19,13:00:00,2025-08-19,13:45:00,25100.0,24900.0,130.15,101.0,121.8,101.6,7.750000000000028,45,time_limit
2025-08-19,14:00:00,2025-08-19,14:45:00,25050.0,24850.0,133.05,91.65,140.0,84.6,0.10000000000002274,45,time_limit
2025-08-20,09:20:00,2025-08-20,10:05:00,25050.0,24800.0,111.75,80.75,130.85,68.45,-6.800000000000011,45,time_limit
2025-08-20,11:00:00,2025-08-20,11:45:00,25100.0,24850.0,108.85,80.8,125.6,71.7,-7.650000000000034,45,time_limit
2025-08-20,13:00:00,2025-08-20,13:45:00,25200.0,24950.0,95.35,88.0,88.65,91.95,2.7499999999999716,45,time_limit
2025-08-20,14:00:00,2025-08-20,14:45:00,25200.0,24950.0,93.7,87.0,95.25,81.65,3.799999999999983,45,time_limit
2025-08-21,09:20:00,2025-08-21,10:05:00,25200.0,24950.0,94.6,71.4,115.25,55.3,-4.550000000000011,45,time_limit
2025-08-21,11:00:00,2025-08-21,11:45:00,25250.0,25000.0,89.35,68.8,86.35,66.55,5.25,45,time_limit
2025-08-21,13:00:00,2025-08-21,13:45:00,25250.0,25000.0,80.8,68.1,71.5,75.3,2.099999999999966,45,time_limit
2025-08-21,14:00:00,2025-08-21,14:45:00,25250.0,25000.0,77.2,66.75,74.8,64.9,4.25,45,time_limit
2025-08-22,09:20:00,2025-08-22,10:05:00,25150.0,24900.0,64.9,60.9,50.75,85.6,-10.549999999999983,45,time_limit
2025-08-22,11:00:00,2025-08-22,11:45:00,25050.0,24800.0,68.7,63.2,72.65,54.55,4.700000000000003,45,time_limit
2025-08-22,13:00:00,2025-08-22,13:45:00,25050.0,24800.0,63.15,59.9,70.65,51.5,0.8999999999999915,45,time_limit
2025-08-22,14:00:00,2025-08-22,14:45:00,25050.0,24800.0,65.85,55.25,55.3,69.25,-3.450000000000003,45,time_limit
2025-08-25,09:20:00,2025-08-25,10:05:00,25050.0,24800.0,52.3,50.1,47.0,39.15,16.25,45,time_limit
2025-08-25,11:00:00,2025-08-25,11:45:00,25100.0,24850.0,37.35,41.2,38.6,36.9,3.0500000000000114,45,time_limit
2025-08-25,13:00:00,2025-08-25,13:45:00,25100.0,24850.0,46.2,26.65,45.3,26.75,0.7999999999999972,45,time_limit
2025-08-25,14:00:00,2025-08-25,14:45:00,25150.0,24900.0,33.1,35.8,23.0,43.55,2.3500000000000085,45,time_limit
2025-08-26,09:20:00,2025-08-26,10:05:00,24950.0,24700.0,37.8,23.85,24.8,35.25,1.6000000000000014,45,time_limit
2025-08-26,11:00:00,2025-08-26,11:45:00,24900.0,24650.0,32.35,23.0,32.45,19.0,3.8999999999999986,45,time_limit
2025-08-26,13:00:00,2025-08-26,13:45:00,24900.0,24650.0,27.9,20.25,33.35,15.85,-1.0500000000000043,45,time_limit
2025-08-26,14:00:00,2025-08-26,14:45:00,24950.0,24700.0,21.05,25.55,19.15,33.7,-6.25,45,time_limit
2025-08-28,09:20:00,2025-08-28,09:45:05,24700.0,24450.0,17.05,13.5,12.0,12.3,6.25,25,profit_target
2025-08-28,11:00:00,2025-08-28,11:45:00,24800.0,24550.0,10.35,11.4,7.3,11.6,2.8500000000000014,45,time_limit
2025-08-28,13:00:00,2025-08-28,13:17:05,24700.0,24450.0,3.95,4.1,3.3,3.1,1.6500000000000004,17,profit_target
2025-08-28,14:00:00,2025-08-28,14:20:31,24650.0,24400.0,4.05,2.1,4.05,0.85,1.2500000000000009,20,profit_target
2025-09-18,09:20:00,2025-09-18,10:05:00,25550.0,25300.0,125.15,83.1,127.8,79.55,0.9000000000000057,45,time_limit
2025-09-18,11:00:00,2025-09-18,11:45:00,25550.0,25300.0,137.15,75.25,129.85,78.45,4.099999999999994,45,time_limit
