entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,10:20:00,24900.0,24900.0,194.3,143.65,199.9,125.6,12.450000000000045,60,time_limit
2025-08-19,10:00:00,2025-08-19,11:00:00,24900.0,24900.0,193.45,133.7,201.1,121.7,4.349999999999966,60,time_limit
2025-08-19,10:40:00,2025-08-19,11:40:00,24900.0,24900.0,193.45,128.85,214.3,113.1,-5.100000000000023,60,time_limit
2025-08-19,11:20:00,2025-08-19,12:20:00,24950.0,24950.0,179.4,136.3,215.5,115.75,-15.549999999999955,60,time_limit
2025-08-19,12:00:00,2025-08-19,13:00:00,24950.0,24950.0,189.75,129.1,212.2,118.3,-11.649999999999977,60,time_limit
2025-08-19,12:40:00,2025-08-19,13:40:00,25000.0,25000.0,188.55,135.45,165.85,146.0,12.149999999999977,60,time_limit
2025-08-19,13:20:00,2025-08-19,14:20:00,25000.0,25000.0,180.0,140.45,159.0,148.9,12.550000000000011,60,time_limit
2025-08-19,14:00:00,2025-08-19,15:00:00,24950.0,24950.0,186.8,127.2,196.6,116.1,1.3000000000000114,60,time_limit
2025-08-20,09:20:00,2025-08-20,10:20:00,24950.0,24950.0,160.95,135.55,189.8,114.25,-7.550000000000011,60,time_limit
2025-08-20,10:00:00,2025-08-20,11:00:00,25000.0,25000.0,150.1,143.05,155.75,136.7,0.6999999999999886,60,time_limit
2025-08-20,10:40:00,2025-08-20,11:40:00,25000.0,25000.0,168.3,128.8,177.15,121.9,-1.9499999999999886,60,time_limit
2025-08-20,11:20:00,2025-08-20,12:20:00,25000.0,25000.0,174.0,121.65,189.55,113.25,-7.150000000000034,60,time_limit
2025-08-20,12:00:00,2025-08-20,13:00:00,25050.0,25050.0,158.75,137.4,166.4,124.7,5.0499999999999545,60,time_limit
2025-08-20,12:40:00,2025-08-20,13:40:00,25050.0,25050.0,163.45,128.25,161.4,127.0,3.3000000000000114,60,time_limit
2025-08-20,13:20:00,2025-08-20,14:20:00,25050.0,25050.0,165.15,126.55,170.0,117.1,4.599999999999966,60,time_limit
2025-08-20,14:00:00,2025-08-20,15:00:00,25050.0,25050.0,164.35,124.45,167.95,117.3,3.5500000000000114,60,time_limit
2025-08-21,09:20:00,2025-08-21,10:20:00,25100.0,25100.0,141.7,125.1,165.15,102.2,-0.5500000000000682,60,time_limit
2025-08-21,10:00:00,2025-08-21,11:00:00,25100.0,25100.0,152.3,112.0,164.5,102.4,-2.599999999999966,60,time_limit
2025-08-21,10:40:00,2025-08-21,11:40:00,25150.0,25150.0,139.1,120.7,130.35,123.0,6.450000000000017,60,time_limit
2025-08-21,11:20:00,2025-08-21,12:20:00,25150.0,25150.0,136.0,120.95,120.8,131.95,4.199999999999989,60,time_limit
2025-08-21,12:00:00,2025-08-21,13:00:00,25100.0,25100.0,151.35,106.95,152.65,102.5,3.1500000000000057,60,time_limit
2025-08-21,12:40:00,2025-08-21,13:40:00,25100.0,25100.0,153.35,102.95,137.6,114.55,4.150000000000034,60,time_limit
2025-08-21,13:20:00,2025-08-21,14:20:00,25100.0,25100.0,153.45,101.7,160.35,91.5,3.299999999999983,60,time_limit
2025-08-21,14:00:00,2025-08-21,15:00:00,25100.0,25100.0,149.5,100.75,144.9,100.55,4.800000000000011,60,time_limit
2025-08-22,09:20:00,2025-08-22,10:20:00,25000.0,25000.0,133.0,96.55,94.35,143.7,-8.499999999999972,60,time_limit
2025-08-22,10:00:00,2025-08-22,11:00:00,24950.0,24950.0,131.75,108.2,109.55,123.1,7.300000000000011,60,time_limit
2025-08-22,10:40:00,2025-08-22,11:40:00,24900.0,24900.0,140.1,98.5,143.15,91.25,4.199999999999989,60,time_limit
2025-08-22,11:20:00,2025-08-22,12:20:00,24900.0,24900.0,136.2,96.8,132.35,97.0,3.6500000000000057,60,time_limit
2025-08-22,12:00:00,2025-08-22,13:00:00,24950.0,24950.0,120.5,104.5,103.65,119.8,1.5500000000000114,60,time_limit
2025-08-22,12:40:00,2025-08-22,13:40:00,24900.0,24900.0,131.6,96.0,145.3,82.0,0.29999999999998295,60,time_limit
2025-08-22,13:20:00,2025-08-22,14:20:00,24900.0,24900.0,133.0,93.7,125.25,100.35,1.0999999999999943,60,time_limit
2025-08-22,14:00:00,2025-08-22,15:00:00,24950.0,24950.0,108.7,111.55,94.3,133.6,-7.649999999999977,60,time_limit
2025-08-25,09:20:00,2025-08-25,10:20:00,24900.0,24900.0,116.55,85.85,111.45,70.4,20.549999999999955,60,time_limit
2025-08-25,10:00:00,2025-08-25,11:00:00,24950.0,24950.0,90.6,92.85,94.95,77.4,11.099999999999966,60,time_limit
2025-08-25,10:40:00,2025-08-25,11:40:00,24950.0,24950.0,94.2,78.6,94.05,75.2,3.5500000000000114,60,time_limit
2025-08-25,11:20:00,2025-08-25,12:20:00,24950.0,24950.0,93.85,76.5,120.4,55.8,-5.849999999999994,60,time_limit
2025-08-25,12:00:00,2025-08-25,13:00:00,24950.0,24950.0,108.7,64.65,119.15,52.65,1.5500000000000114,60,time_limit
2025-08-25,12:40:00,2025-08-25,13:40:00,25000.0,25000.0,87.25,78.05,88.1,74.35,2.8500000000000227,60,time_limit
2025-08-25,13:20:00,2025-08-25,14:20:00,25000.0,25000.0,86.2,74.55,84.05,75.55,1.1500000000000057,60,time_limit
2025-08-25,14:00:00,2025-08-25,15:00:00,25000.0,25000.0,92.9,68.95,80.9,73.25,7.700000000000017,60,time_limit
2025-08-26,09:20:00,2025-08-26,10:20:00,24850.0,24850.0,79.0,68.0,53.05,94.3,-0.3499999999999943,60,time_limit
2025-08-26,10:00:00,2025-08-26,11:00:00,24800.0,24800.0,70.4,75.65,67.6,71.15,7.300000000000011,60,time_limit
2025-08-26,10:40:00,2025-08-26,11:40:00,24800.0,24800.0,67.7,73.45,69.65,61.95,9.549999999999983,60,time_limit
