entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:20:00,2025-08-19,11:20:00,24900.0,24900.0,194.3,143.65,209.0,116.25,12.700000000000045,120,time_limit
2025-08-19,13:00:00,2025-08-19,15:00:00,24950.0,25000.0,212.2,138.55,196.6,136.65,17.5,120,time_limit
2025-08-20,09:20:00,2025-08-20,11:20:00,24950.0,24950.0,160.95,135.55,204.1,103.05,-10.649999999999977,120,time_limit
2025-08-20,13:00:00,2025-08-20,15:00:00,25050.0,25050.0,166.4,124.7,167.95,117.3,5.850000000000023,120,time_limit
2025-08-21,09:20:00,2025-08-21,11:20:00,25100.0,25100.0,141.7,125.1,165.0,100.1,1.6999999999999318,120,time_limit
2025-08-21,13:00:00,2025-08-21,15:00:00,25100.0,25100.0,152.65,102.5,144.9,100.55,9.700000000000017,120,time_limit
2025-08-22,09:20:00,2025-08-22,11:20:00,25000.0,25000.0,133.0,96.55,86.65,147.55,-4.650000000000006,120,time_limit
2025-08-22,13:00:00,2025-08-22,15:00:00,24900.0,24900.0,130.2,96.3,118.2,108.3,0.0,120,time_limit
2025-08-25,09:20:00,2025-08-25,11:20:00,24900.0,24900.0,116.55,85.85,123.7,56.1,22.599999999999966,120,time_limit
2025-08-25,13:00:00,2025-08-25,15:00:00,25000.0,25000.0,89.05,72.5,80.9,73.25,7.400000000000006,120,time_limit
2025-08-26,09:20:00,2025-08-26,11:20:00,24850.0,24850.0,79.0,68.0,51.3,87.15,8.550000000000011,120,time_limit
2025-08-26,13:00:00,2025-08-26,15:00:00,24800.0,24800.0,60.8,67.6,48.9,84.35,-4.850000000000023,120,time_limit
2025-08-28,09:20:00,2025-08-28,11:20:00,24600.0,24600.0,42.1,62.15,82.05,22.05,0.15000000000000568,120,time_limit
2025-08-28,13:00:00,2025-08-28,15:00:00,24600.0,24600.0,19.05,49.75,1.3,79.3,-11.799999999999997,120,time_limit
2025-09-18,09:20:00,2025-09-18,11:20:00,25400.0,25400.0,206.4,114.8,221.35,104.25,-4.400000000000034,120,time_limit
2025-09-18,13:00:00,2025-09-18,15:00:00,25400.0,25400.0,193.25,121.8,201.0,110.45,3.6000000000000227,120,time_limit
2025-09-19,09:20:00,2025-09-19,11:20:00,25400.0,25400.0,156.5,129.0,135.2,161.05,-10.75,120,time_limit
2025-09-19,13:00:00,2025-09-19,15:00:00,25300.0,25300.0,195.0,111.55,215.5,92.4,-1.349999999999966,120,time_limit
2025-09-22,09:20:00,2025-09-22,11:19:59,25250.0,25250.0,182.4,102.1,200.6,88.95,-5.050000000000011,119,time_limit
2025-09-22,13:00:00,2025-09-22,15:00:00,25300.0,25300.0,169.4,103.5,126.0,143.8,3.099999999999966,120,time_limit
2025-09-23,09:20:00,2025-09-23,11:20:00,25200.0,25200.0,175.75,95.5,113.75,156.0,1.5,120,time_limit
2025-09-23,13:00:00,2025-09-23,15:00:00,25200.0,25200.0,156.2,105.55,162.7,94.65,4.399999999999977,120,time_limit
2025-09-24,09:20:00,2025-09-24,11:20:00,25100.0,25100.0,136.5,99.25,113.25,109.25,13.25,120,time_limit
2025-09-24,13:00:00,2025-09-24,15:00:00,25100.0,25100.0,139.95,81.2,107.4,102.95,10.799999999999955,120,time_limit
2025-09-25,09:20:00,2025-09-25,11:20:00,25050.0,25050.0,121.85,80.0,105.8,88.8,7.25,120,time_limit
2025-09-25,13:00:00,2025-09-25,15:00:00,25000.0,25000.0,113.5,83.15,89.85,98.95,7.849999999999994,120,time_limit
2025-09-26,09:20:00,2025-09-26,11:20:00,24800.0,24800.0,131.4,60.95,91.75,81.4,19.200000000000017,120,time_limit
2025-09-26,13:00:00,2025-09-26,15:00:00,24750.0,24750.0,130.1,54.0,63.25,131.35,-10.5,120,time_limit
2025-09-29,09:20:00,2025-09-29,11:20:00,24700.0,24700.0,96.25,62.1,125.35,35.6,-2.5999999999999943,120,time_limit
2025-09-29,13:00:00,2025-09-29,15:00:00,24650.0,24650.0,80.85,55.3,94.9,41.5,-0.2500000000000284,120,time_limit
2025-09-30,09:20:00,2025-09-30,11:20:00,24700.0,24700.0,67.4,39.4,32.75,60.2,13.850000000000009,120,time_limit
2025-09-30,13:00:00,2025-09-30,14:56:16,24650.0,24650.0,40.9,31.9,4.5,23.65,44.65,116,profit_target
2025-10-16,09:20:00,2025-10-16,11:20:00,25400.0,25400.0,229.0,122.9,255.3,109.1,-12.5,120,time_limit
2025-10-16,13:00:00,2025-10-16,15:00:00,25500.0,25500.0,227.1,125.6,291.5,100.05,-38.85000000000002,120,time_limit
2025-10-17,09:20:00,2025-10-17,11:20:00,25550.0,25550.0,201.0,144.3,361.5,88.1,-104.30000000000001,120,time_limit
2025-10-17,13:00:00,2025-10-17,15:00:00,25700.0,25700.0,209.6,156.3,215.75,141.9,8.25,120,time_limit
2025-10-20,09:20:00,2025-10-20,11:20:00,25900.0,25900.0,178.7,123.5,153.3,159.2,-10.300000000000011,120,time_limit
2025-10-20,13:00:00,2025-10-20,15:00:00,25900.0,25900.0,166.4,132.55,138.95,145.75,14.250000000000057,120,time_limit
2025-10-23,09:20:00,2025-10-23,11:20:00,26000.0,26000.0,176.45,88.25,198.95,69.1,-3.349999999999966,120,time_limit
2025-10-23,13:00:00,2025-10-23,14:59:59,26050.0,26050.0,161.0,78.85,105.0,113.2,21.650000000000006,119,time_limit
2025-10-24,09:20:00,2025-10-24,11:20:00,25850.0,25850.0,139.8,78.5,102.2,100.05,16.05000000000001,120,time_limit
2025-10-24,13:00:00,2025-10-24,15:00:00,25800.0,25800.0,126.1,75.65,84.95,110.05,6.75,120,time_limit
2025-10-27,09:20:00,2025-10-27,11:20:00,25850.0,25850.0,120.85,51.1,210.45,29.75,-68.25,120,time_limit
2025-10-27,13:00:00,2025-10-27,15:00:00,25950.0,25950.0,122.95,52.0,101.4,48.6,24.94999999999999,120,time_limit
2025-10-28,09:20:00,2025-10-28,11:20:00,25950.0,25950.0,87.65,54.1,27.45,103.95,10.349999999999994,120,time_limit
2025-10-28,13:00:00,2025-10-28,15:00:00,25950.0,25950.0,42.45,40.05,0.8,89.85,-8.149999999999991,120,time_limit
2025-11-13,09:20:00,2025-11-13,11:20:00,25850.0,25850.0,241.4,166.05,323.65,118.15,-34.34999999999991,120,time_limit
2025-11-13,13:00:00,2025-11-13,15:00:00,25950.0,25950.0,259.0,155.65,206.55,205.45,2.6499999999999773,120,time_limit
2025-11-14,09:20:00,2025-11-14,11:20:00,25800.0,25800.0,259.6,164.1,262.9,145.9,14.900000000000091,120,time_limit
2025-11-14,13:00:00,2025-11-14,15:00:00,25800.0,25800.0,250.8,158.7,234.1,163.95,11.450000000000045,120,time_limit
2025-11-17,09:20:00,2025-11-17,11:20:00,25950.0,25950.0,220.2,151.55,210.0,146.25,15.5,120,time_limit
