entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:20:00,2025-08-01,10:50:00,55900.0,55900.0,756.75,631.7,860.0,554.2,-25.75,90,time_limit
2025-08-01,13:00:00,2025-08-01,14:30:00,55800.0,55800.0,800.0,591.25,757.0,642.0,-7.75,90,time_limit
2025-08-04,09:20:00,2025-08-04,10:50:00,55700.0,55700.0,783.0,581.1,691.55,692.25,-715.0500000000002,90,time_limit
2025-08-04,13:00:00,2025-08-04,14:30:00,55600.0,55600.0,818.5,561.6,803.55,566.15,-693.4000000000001,90,time_limit
2025-08-05,09:20:00,2025-08-05,10:50:00,55600.0,55600.0,732.75,586.4,687.6,639.55,-501.4499999999998,90,time_limit
2025-08-05,13:00:00,2025-08-05,14:30:00,55400.0,55400.0,784.8,546.85,700.45,620.9,-703.3999999999999,90,time_limit
2025-08-06,09:20:00,2025-08-06,10:50:00,55400.0,55400.0,731.45,565.0,672.15,594.25,-707.2,90,time_limit
2025-08-06,13:00:00,2025-08-06,14:30:00,55400.0,55400.0,732.0,522.4,718.3,532.45,-724.4499999999998,90,time_limit
2025-08-07,09:20:00,2025-08-07,10:50:00,55300.0,55300.0,712.55,517.05,607.9,619.0,-736.3500000000001,90,time_limit
2025-08-07,13:00:00,2025-08-07,14:30:00,55100.0,55100.0,734.95,499.5,781.2,452.0,-829.9999999999998,90,time_limit
2025-08-08,09:20:00,2025-08-08,10:50:00,55500.0,55500.0,652.15,498.3,542.4,635.0,-757.55,90,time_limit
2025-08-08,13:00:00,2025-08-08,14:30:00,55200.0,55200.0,698.7,477.25,643.55,535.0,-742.1499999999999,90,time_limit
2025-08-11,09:20:00,2025-08-11,10:50:00,55100.0,55100.0,650.45,522.05,751.4,433.85,-779.0,90,time_limit
2025-08-11,13:00:00,2025-08-11,14:30:00,55300.0,55300.0,625.65,503.6,677.0,446.8,-776.45,90,time_limit
2025-08-12,09:20:00,2025-08-12,10:50:00,55300.0,55300.0,618.75,458.2,627.25,476.85,-829.05,90,time_limit
2025-08-12,13:00:00,2025-08-12,14:30:00,55300.0,55300.0,642.0,434.9,575.05,501.4,-796.5,90,time_limit
2025-08-13,09:20:00,2025-08-13,10:50:00,55200.0,55200.0,644.0,428.3,609.95,453.7,-814.8999999999999,90,time_limit
2025-08-13,13:00:00,2025-08-13,14:30:00,55200.0,55200.0,643.5,401.05,644.9,399.2,-839.9000000000001,90,time_limit
2025-08-14,09:20:00,2025-08-14,10:50:00,55200.0,55200.0,600.0,413.0,692.85,349.55,-867.9000000000001,90,time_limit
2025-08-14,13:00:00,2025-08-14,14:30:00,55400.0,55400.0,594.25,401.0,532.2,452.6,-839.1500000000001,90,time_limit
2025-08-18,09:20:00,2025-08-18,10:50:00,56000.0,56000.0,498.1,391.35,511.0,383.0,-881.7,90,time_limit
2025-08-18,13:00:00,2025-08-18,14:30:00,55800.0,55800.0,484.1,401.85,480.05,404.2,-853.8499999999999,90,time_limit
2025-08-19,09:20:00,2025-08-19,10:50:00,55700.0,55700.0,492.9,332.85,474.55,314.25,-852.4000000000001,90,time_limit
2025-08-19,13:00:00,2025-08-19,14:30:00,55900.0,55900.0,440.95,335.75,411.85,337.7,-864.6000000000001,90,time_limit
2025-08-20,09:20:00,2025-08-20,10:50:00,55700.0,55700.0,425.0,304.15,416.9,315.35,-907.2500000000001,90,time_limit
2025-08-20,13:00:00,2025-08-20,14:30:00,55700.0,55700.0,436.6,282.85,419.6,292.75,-901.2,90,time_limit
2025-08-21,09:20:00,2025-08-21,10:50:00,55800.0,55800.0,376.15,283.1,470.05,215.8,-950.6500000000001,90,time_limit
2025-08-21,13:00:00,2025-08-21,14:30:00,55800.0,55800.0,407.2,235.35,419.4,209.0,-930.45,90,time_limit
2025-08-22,09:20:00,2025-08-22,10:50:00,55600.0,55600.0,352.65,224.15,202.7,383.85,-984.0,90,time_limit
2025-08-22,13:00:00,2025-08-22,14:30:00,55300.0,55300.0,341.1,224.35,274.5,285.95,-1011.7,90,time_limit
2025-08-25,09:20:00,2025-08-25,09:20:01,55200.0,55200.0,320.7,192.1,323.35,190.4,-1049.25,0,stop_loss
2025-08-25,13:00:00,2025-08-25,13:00:01,55200.0,55200.0,281.55,166.25,282.2,166.55,-1067.5,0,stop_loss
2025-08-26,09:20:00,2025-08-26,09:20:01,54700.0,54700.0,239.15,179.85,238.2,182.1,-1120.45,0,stop_loss
2025-08-26,13:00:00,2025-08-26,13:00:01,54600.0,54600.0,209.85,145.0,209.1,144.8,-1133.4,0,stop_loss
2025-08-28,09:20:00,2025-08-28,09:20:01,54000.0,54000.0,179.2,131.5,178.0,132.0,-1229.35,0,stop_loss
2025-08-28,13:00:00,2025-08-28,13:00:01,54100.0,54100.0,93.8,72.9,92.8,73.5,-1337.8999999999999,0,stop_loss
2025-08-29,09:20:00,2025-08-29,10:50:00,53900.0,53900.0,950.5,567.2,1029.9,500.25,-12.450000000000045,90,time_limit
2025-08-29,13:00:00,2025-08-29,14:30:00,53900.0,53900.0,920.3,551.15,857.4,599.4,14.649999999999864,90,time_limit
2025-09-01,09:20:00,2025-09-01,10:50:00,53900.0,53900.0,900.75,530.5,890.95,525.0,-573.75,90,time_limit
2025-09-01,13:00:00,2025-09-01,14:30:00,53900.0,53900.0,887.2,516.55,881.95,515.45,-617.9000000000001,90,time_limit
2025-09-02,09:20:00,2025-09-02,10:50:00,54000.0,54000.0,833.7,535.85,916.75,469.95,-635.4499999999998,90,time_limit
2025-09-02,13:00:00,2025-09-02,14:30:00,54000.0,54000.0,889.1,479.15,704.6,656.5,-592.45,90,time_limit
2025-09-03,09:20:00,2025-09-03,10:50:00,53600.0,53600.0,862.45,525.45,918.2,463.95,-465.79999999999995,90,time_limit
2025-09-03,13:00:00,2025-09-03,14:30:00,53700.0,53700.0,830.8,503.55,939.8,431.7,-642.6500000000001,90,time_limit
2025-09-04,09:20:00,2025-09-04,10:50:00,54300.0,54300.0,739.0,531.4,714.3,549.2,-604.55,90,time_limit
2025-09-04,13:00:00,2025-09-04,14:30:00,54300.0,54300.0,717.4,536.2,604.45,646.45,-601.8500000000001,90,time_limit
2025-09-05,09:20:00,2025-09-05,10:50:00,54200.0,54200.0,733.5,476.25,562.2,623.65,-581.05,90,time_limit
2025-09-05,13:00:00,2025-09-05,14:30:00,53800.0,53800.0,741.35,481.7,937.95,356.75,-71.65000000000009,90,time_limit
2025-09-08,09:20:00,2025-09-08,10:50:00,54200.0,54200.0,684.65,491.85,694.55,466.35,-644.5,90,time_limit
2025-09-08,13:00:00,2025-09-08,14:30:00,54300.0,54300.0,728.1,428.25,734.75,423.65,-640.0500000000002,90,time_limit
2025-09-09,09:20:00,2025-09-09,10:50:00,54300.0,54300.0,678.55,450.95,632.75,512.45,-665.6500000000001,90,time_limit
2025-09-09,13:00:00,2025-09-09,14:30:00,54100.0,54100.0,738.05,432.95,781.05,397.3,-655.05,90,time_limit
2025-09-10,09:20:00,2025-09-10,10:50:00,54500.0,54500.0,617.8,461.95,751.0,396.65,-710.2,90,time_limit
