entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-01,13:00:00,2025-08-01,15:24:59,55800.0,55800.0,800.0,591.25,702.55,697.45,1391.25,1400.0,-8.75,144,time_limit
2025-08-04,13:00:00,2025-08-04,15:24:59,55600.0,55600.0,818.5,561.6,819.0,537.95,1380.1,1356.95,23.149999999999864,144,time_limit
2025-08-05,13:00:00,2025-08-05,15:24:59,55400.0,55400.0,784.8,546.85,706.1,582.05,1331.65,1288.15,43.5,144,time_limit
2025-08-06,13:00:00,2025-08-06,15:24:59,55400.0,55400.0,732.0,522.4,731.65,523.85,1254.4,1255.5,-1.099999999999909,144,time_limit
2025-08-07,13:00:00,2025-08-07,15:24:59,55100.0,55100.0,734.95,499.5,1029.5,298.7,1234.45,1328.2,-93.75,144,time_limit
2025-08-08,13:00:00,2025-08-08,15:24:59,55200.0,55200.0,698.7,477.25,545.1,627.0,1175.95,1172.1,3.8500000000001364,144,time_limit
2025-08-11,13:00:00,2025-08-11,15:24:59,55300.0,55300.0,625.65,503.6,662.3,444.0,1129.25,1106.3,22.950000000000045,144,time_limit
2025-08-12,13:00:00,2025-08-12,15:24:59,55300.0,55300.0,642.0,434.9,530.15,529.5,1076.9,1059.65,17.25,144,time_limit
2025-08-13,13:00:00,2025-08-13,15:24:59,55200.0,55200.0,643.5,401.05,638.75,394.45,1044.55,1033.2,11.349999999999909,144,time_limit
2025-08-14,13:00:00,2025-08-14,15:24:59,55400.0,55400.0,594.25,401.0,534.9,443.5,995.25,978.4,16.850000000000023,144,time_limit
2025-08-18,13:00:00,2025-08-18,15:24:59,55800.0,55800.0,484.1,401.85,454.15,394.5,885.95,848.65,37.30000000000007,144,time_limit
2025-08-19,13:00:00,2025-08-19,15:24:59,55900.0,55900.0,440.95,335.75,406.55,332.9,776.7,739.45,37.25,144,time_limit
2025-08-20,13:00:00,2025-08-20,15:24:59,55700.0,55700.0,436.6,282.85,416.65,285.9,719.45,702.55,16.90000000000009,144,time_limit
2025-08-21,13:00:00,2025-08-21,15:24:59,55800.0,55800.0,407.2,235.35,347.35,248.25,642.55,595.6,46.94999999999993,144,time_limit
2025-08-22,13:00:00,2025-08-22,15:24:59,55300.0,55300.0,341.1,224.35,259.1,306.15,565.45,565.25,0.20000000000004547,144,time_limit
2025-08-25,13:00:00,2025-08-25,15:24:59,55200.0,55200.0,281.55,166.25,237.85,181.7,447.8,419.54999999999995,28.250000000000057,144,time_limit
2025-08-26,13:00:00,2025-08-26,15:24:59,54600.0,54600.0,209.85,145.0,143.7,213.75,354.85,357.45,-2.599999999999966,144,time_limit
