entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-01,13:00:00,2025-08-01,15:24:59,56400.0,55200.0,499.0,379.65,429.5,458.1,878.65,887.6,-8.950000000000045,144,time_limit
2025-08-04,13:00:00,2025-08-04,15:24:59,56200.0,55100.0,504.3,387.2,504.0,367.8,891.5,871.8,19.700000000000045,144,time_limit
2025-08-05,13:00:00,2025-08-05,15:24:59,56000.0,54900.0,480.55,370.3,418.0,396.1,850.85,814.1,36.75,144,time_limit
2025-08-06,13:00:00,2025-08-06,15:24:59,56000.0,54900.0,430.0,348.3,430.05,348.7,778.3,778.75,-0.4500000000000455,144,time_limit
2025-08-07,13:00:00,2025-08-07,15:24:59,55700.0,54600.0,434.7,323.85,640.0,188.45,758.55,828.45,-69.90000000000009,144,time_limit
2025-08-08,13:00:00,2025-08-08,15:24:59,55800.0,54700.0,400.0,304.65,301.6,412.35,704.65,713.95,-9.300000000000068,144,time_limit
2025-08-11,13:00:00,2025-08-11,15:24:59,55800.0,54700.0,384.15,289.15,409.75,249.4,673.3,659.15,14.149999999999977,144,time_limit
2025-08-12,13:00:00,2025-08-12,15:24:59,55900.0,54800.0,352.9,262.4,280.45,328.05,615.3,608.5,6.7999999999999545,144,time_limit
2025-08-13,13:00:00,2025-08-13,15:24:59,55800.0,54700.0,343.5,239.55,338.25,233.9,583.05,572.15,10.899999999999977,144,time_limit
2025-08-14,13:00:00,2025-08-14,15:24:59,56000.0,54900.0,306.0,237.0,268.4,262.85,543.0,531.25,11.75,144,time_limit
2025-08-18,13:00:00,2025-08-18,15:24:59,56400.0,55200.0,227.15,196.55,205.4,188.25,423.70000000000005,393.65,30.050000000000068,144,time_limit
2025-08-19,13:00:00,2025-08-19,15:24:59,56500.0,55300.0,183.15,150.9,160.65,143.0,334.05,303.65,30.400000000000034,144,time_limit
2025-08-20,13:00:00,2025-08-20,15:24:59,56300.0,55200.0,170.25,133.05,156.95,133.95,303.3,290.9,12.400000000000034,144,time_limit
2025-08-21,13:00:00,2025-08-21,15:24:59,56400.0,55300.0,140.0,100.75,107.95,102.45,240.75,210.4,30.349999999999994,144,time_limit
2025-08-22,13:00:00,2025-08-22,15:24:59,55900.0,54800.0,103.15,83.7,78.75,121.6,186.85000000000002,200.35,-13.499999999999972,144,time_limit
2025-08-25,13:00:00,2025-08-25,15:24:58,55700.0,54600.0,84.55,34.35,65.55,38.95,118.9,104.5,14.400000000000006,144,time_limit
