entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-19,09:30:00,2025-08-19,15:24:59,24900.0,24900.0,203.3,133.7,234.95,93.35,337.0,328.29999999999995,8.700000000000045,354,time_limit
2025-08-20,09:30:00,2025-08-20,15:24:58,24950.0,24950.0,155.0,138.3,221.35,87.9,293.3,309.25,-15.949999999999989,354,time_limit
2025-08-21,09:30:00,2025-08-21,15:24:59,25050.0,25050.0,164.4,109.9,159.15,89.4,274.3,248.55,25.75,354,time_limit
2025-08-22,09:30:00,2025-08-22,15:24:58,25000.0,25000.0,119.15,116.9,72.0,171.6,236.05,243.6,-7.549999999999983,354,time_limit
2025-08-25,09:30:00,2025-08-25,15:24:59,24950.0,24950.0,99.7,85.6,104.5,56.25,185.3,160.75,24.55000000000001,354,time_limit
2025-08-26,09:30:00,2025-08-26,15:24:59,24800.0,24800.0,84.3,72.9,42.0,111.95,157.2,153.95,3.25,354,time_limit
2025-08-28,09:30:00,2025-08-28,15:24:59,24550.0,24550.0,45.7,53.55,0.2,47.5,99.25,47.7,51.55,354,time_limit
2025-09-18,09:30:00,2025-09-18,15:24:58,25450.0,25450.0,186.4,124.75,182.35,118.0,311.15,300.35,10.799999999999955,354,time_limit
2025-09-19,09:30:00,2025-09-19,15:24:59,25350.0,25350.0,183.9,111.2,178.85,109.3,295.1,288.15,6.9500000000000455,354,time_limit
2025-09-22,09:30:00,2025-09-22,15:24:58,25250.0,25300.0,193.55,114.4,152.8,142.85,307.95000000000005,295.65,12.300000000000068,354,time_limit
2025-09-23,09:30:00,2025-09-23,15:24:59,25200.0,25150.0,152.9,92.2,152.05,79.95,245.10000000000002,232.0,13.100000000000023,354,time_limit
2025-09-24,09:30:00,2025-09-24,15:24:59,25050.0,25050.0,157.2,82.7,142.55,77.0,239.89999999999998,219.55,20.349999999999966,354,time_limit
2025-09-25,09:30:00,2025-09-25,15:24:59,25050.0,25050.0,125.8,76.85,61.15,142.0,202.64999999999998,203.15,-0.5000000000000284,354,time_limit
2025-09-26,09:30:00,2025-09-26,15:24:59,24800.0,24800.0,113.85,68.5,46.25,149.5,182.35,195.75,-13.400000000000006,354,time_limit
2025-09-29,09:30:00,2025-09-29,15:24:59,24700.0,24700.0,107.55,48.15,49.7,56.45,155.7,106.15,49.54999999999998,354,time_limit
2025-09-30,09:30:00,2025-09-30,15:24:59,24650.0,24650.0,71.05,37.35,0.05,38.75,108.4,38.8,69.60000000000001,354,time_limit
2025-10-16,09:30:00,2025-10-16,15:24:57,25400.0,25400.0,237.6,115.75,334.15,81.8,353.35,415.95,-62.599999999999966,354,time_limit
2025-10-17,09:30:00,2025-10-17,15:24:59,25600.0,25600.0,206.85,143.8,268.85,110.0,350.65,378.85,-28.200000000000045,354,time_limit
2025-10-20,09:30:00,2025-10-20,15:24:59,25900.0,25900.0,169.9,136.9,155.0,127.3,306.8,282.3,24.5,354,time_limit
2025-10-23,09:30:00,2025-10-23,15:24:59,26050.0,26050.0,177.9,91.05,75.1,161.6,268.95,236.7,32.25,354,time_limit
2025-10-24,09:30:00,2025-10-24,15:24:59,25900.0,25900.0,143.45,84.1,58.1,148.15,227.54999999999998,206.25,21.299999999999983,354,time_limit
2025-10-27,09:30:00,2025-10-27,15:24:59,25900.0,25900.0,108.65,57.4,145.8,30.95,166.05,176.75,-10.699999999999989,354,time_limit
2025-10-28,09:30:00,2025-10-28,15:24:59,26000.0,26000.0,68.9,61.45,0.15,64.15,130.35000000000002,64.30000000000001,66.05000000000001,354,time_limit
2025-11-13,09:30:00,2025-11-13,15:24:59,25850.0,25850.0,269.5,152.0,270.5,158.95,421.5,429.45,-7.949999999999989,354,time_limit
2025-11-14,09:30:00,2025-11-14,15:24:59,25800.0,25800.0,268.3,149.5,296.75,120.05,417.8,416.8,1.0,354,time_limit
2025-11-17,09:30:00,2025-11-17,15:24:59,25950.0,25950.0,232.9,140.85,231.7,121.2,373.75,352.9,20.850000000000023,354,time_limit
2025-11-18,09:30:00,2025-11-18,15:24:59,25950.0,25950.0,192.1,148.35,158.1,158.95,340.45,317.04999999999995,23.400000000000034,354,time_limit
2025-11-19,09:30:00,2025-11-19,15:24:59,25900.0,25900.0,166.6,132.9,247.0,80.45,299.5,327.45,-27.94999999999999,354,time_limit
2025-11-20,09:30:00,2025-11-20,15:24:59,26100.0,26100.0,142.4,119.0,200.0,66.6,261.4,266.6,-5.2000000000000455,354,time_limit
2025-11-21,09:30:00,2025-11-21,15:24:58,26150.0,26150.0,125.6,105.1,69.0,144.5,230.7,213.5,17.19999999999999,354,time_limit
2025-11-24,09:30:00,2025-11-24,15:24:59,26100.0,26100.0,104.65,61.35,26.25,144.6,166.0,170.85,-4.849999999999994,354,time_limit
2025-11-25,09:30:00,2025-11-25,15:24:59,25950.0,25950.0,56.6,47.75,0.05,65.2,104.35,65.25,39.099999999999994,354,time_limit
