entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,total_premium_received,total_premium_paid,pnl,hold_duration_minutes,exit_reason
2025-08-19,13:00:00,2025-08-19,15:24:59,25300.0,24700.0,59.45,52.85,53.45,46.6,112.30000000000001,100.05000000000001,12.25,144,time_limit
2025-08-20,13:00:00,2025-08-20,15:24:59,25300.0,24800.0,63.1,49.65,57.1,50.45,112.75,107.55000000000001,5.199999999999989,144,time_limit
2025-08-21,13:00:00,2025-08-21,15:24:59,25350.0,24850.0,48.85,36.45,36.3,36.75,85.30000000000001,73.05,12.250000000000014,144,time_limit
2025-08-22,13:00:00,2025-08-22,15:24:59,25150.0,24650.0,37.0,28.7,34.15,35.7,65.7,69.85,-4.1499999999999915,144,time_limit
2025-08-25,13:00:00,2025-08-25,15:24:59,25250.0,24750.0,15.25,13.6,11.35,14.45,28.85,25.799999999999997,3.0500000000000043,144,time_limit
2025-08-26,13:00:00,2025-08-26,15:24:59,25050.0,24550.0,10.7,10.3,9.25,18.25,21.0,27.5,-6.5,144,time_limit
2025-08-28,13:00:00,2025-08-28,15:24:59,24800.0,24350.0,1.55,1.2,0.1,0.1,2.75,0.2,2.55,144,time_limit
2025-09-18,13:00:00,2025-09-18,15:24:59,25650.0,25150.0,77.0,54.5,86.25,42.1,131.5,128.35,3.1500000000000057,144,time_limit
2025-09-19,13:00:00,2025-09-19,15:24:59,25550.0,25050.0,77.0,47.2,82.65,37.6,124.2,120.25,3.950000000000003,144,time_limit
2025-09-22,13:00:00,2025-09-22,15:24:57,25550.0,25050.0,56.7,39.8,41.6,57.0,96.5,98.6,-2.0999999999999943,144,time_limit
2025-09-23,13:00:00,2025-09-23,15:24:59,25450.0,24950.0,51.3,39.3,47.15,34.1,90.6,81.25,9.349999999999994,144,time_limit
2025-09-24,13:00:00,2025-09-24,15:24:59,25350.0,24850.0,36.25,24.1,27.75,27.6,60.35,55.35,5.0,144,time_limit
2025-09-25,13:00:00,2025-09-25,15:24:59,25250.0,24750.0,27.55,21.45,19.5,28.2,49.0,47.7,1.2999999999999972,144,time_limit
2025-09-26,13:00:00,2025-09-26,15:24:59,25000.0,24550.0,26.7,16.1,14.3,37.6,42.8,51.900000000000006,-9.100000000000009,144,time_limit
2025-09-29,13:00:00,2025-09-29,15:24:59,24900.0,24400.0,9.2,9.05,8.95,5.7,18.25,14.649999999999999,3.6000000000000014,144,time_limit
2025-09-30,13:00:00,2025-09-30,15:24:59,24900.0,24400.0,1.55,1.6,0.05,0.05,3.1500000000000004,0.1,3.0500000000000003,144,time_limit
2025-10-16,13:00:00,2025-10-16,15:24:59,25750.0,25250.0,95.9,64.05,118.95,54.25,159.95,173.2,-13.25,144,time_limit
2025-10-17,13:00:00,2025-10-17,15:24:59,26000.0,25450.0,75.85,80.85,69.55,74.4,156.7,143.95,12.75,144,time_limit
2025-10-20,13:00:00,2025-10-20,15:24:59,26150.0,25650.0,60.75,58.0,54.2,50.35,118.75,104.55000000000001,14.199999999999989,144,time_limit
2025-10-23,13:00:00,2025-10-23,15:24:59,26300.0,25750.0,46.35,21.7,17.25,44.2,68.05,61.45,6.599999999999994,144,time_limit
2025-10-24,13:00:00,2025-10-24,15:24:59,26050.0,25550.0,29.6,18.6,26.15,18.85,48.2,45.0,3.200000000000003,144,time_limit
2025-10-27,13:00:00,2025-10-27,15:24:59,26250.0,25700.0,12.65,12.05,10.7,8.9,24.700000000000003,19.6,5.100000000000001,144,time_limit
2025-10-28,13:00:00,2025-10-28,15:24:59,26200.0,25700.0,2.2,1.85,0.1,0.05,4.050000000000001,0.15000000000000002,3.900000000000001,144,time_limit
2025-11-13,13:00:00,2025-11-13,15:24:59,26250.0,25700.0,113.6,80.65,90.1,110.1,194.25,200.2,-5.949999999999989,144,time_limit
2025-11-14,13:00:00,2025-11-14,15:24:59,26050.0,25550.0,128.6,80.65,158.0,59.0,209.25,217.0,-7.75,144,time_limit
2025-11-17,13:00:00,2025-11-17,15:24:59,26250.0,25750.0,91.05,64.3,89.15,63.95,155.35,153.10000000000002,2.2499999999999716,144,time_limit
2025-11-18,13:00:00,2025-11-18,15:24:59,26200.0,25700.0,74.95,68.55,61.55,69.0,143.5,130.55,12.949999999999989,144,time_limit
2025-11-19,13:00:00,2025-11-19,15:24:59,26300.0,25750.0,46.85,48.25,52.55,45.25,95.1,97.8,-2.700000000000003,144,time_limit
2025-11-20,13:00:00,2025-11-20,15:24:59,26450.0,25900.0,27.35,36.0,37.3,26.7,63.35,64.0,-0.6499999999999986,144,time_limit
2025-11-21,13:00:00,2025-11-21,15:24:59,26450.0,25900.0,20.35,22.55,9.05,42.8,42.900000000000006,51.849999999999994,-8.949999999999989,144,time_limit
2025-11-24,13:00:00,2025-11-24,15:24:59,26350.0,25800.0,7.2,6.75,3.7,16.3,13.95,20.0,-6.050000000000001,144,time_limit
2025-11-25,13:00:00,2025-11-25,15:24:59,26250.0,25700.0,1.0,0.95,0.1,0.05,1.95,0.15000000000000002,1.7999999999999998,144,time_limit
