strategy,trades,wins,win_rate_%,total_pnl,time_sec
BANKNIFTY_ATM_Straddle_0930_close,81,59,72.8,1766.10,18.0
BANKNIFTY_ATM_Straddle_1300_close,81,58,71.6,845.30,16.4
BANKNIFTY_OTM_Strangle_1pct_0930_close,81,59,72.8,921.15,16.1
BANKNIFTY_OTM_Strangle_1pct_1300_close,81,59,72.8,579.25,16.4
BANKNIFTY_OTM_Strangle_2pct_0930_close,81,60,74.1,637.40,16.4
BANKNIFTY_OTM_Strangle_2pct_1300_close,81,58,71.6,343.85,16.3
BANKNIFTY_OTM_Strangle_05pct_0930_close,81,59,72.8,1224.55,16.7
BANKNIFTY_OTM_Strangle_05pct_1300_close,81,58,71.6,778.05,16.6
NIFTY_ATM_Straddle_0930_close,32,21,65.6,357.25,5.9
NIFTY_ATM_Straddle_1300_close,32,22,68.8,135.30,5.8
NIFTY_OTM_Strangle_1pct_0930_close,32,22,68.8,110.05,5.7
NIFTY_OTM_Strangle_1pct_1300_close,32,21,65.6,60.30,5.6
NIFTY_OTM_Strangle_2pct_0930_close,32,21,65.6,56.25,5.7
NIFTY_OTM_Strangle_2pct_1300_close,32,19,59.4,36.30,5.6
NIFTY_OTM_Strangle_05pct_0930_close,32,21,65.6,190.30,5.7
NIFTY_OTM_Strangle_05pct_1300_close,32,21,65.6,101.75,5.6
