entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,ce_exit_time,pe_exit_time,ce_exit_reason,pe_exit_reason,rehedge_count,ce_pnl,pe_pnl,total_pnl,total_pnl_pct,hold_duration_minutes
2025-08-01,09:20:00,2025-08-01,15:20:00,55900.0,55900.0,755.10,631.20,755.05,757.85,09:20:17,15:20:00,profit_take,eod,0,-4.95,-131.65,-136.60,-9.85,360
2025-08-04,09:20:00,2025-08-04,15:20:00,55700.0,55700.0,782.90,582.45,759.50,582.15,15:20:00,09:20:05,eod,profit_take,0,18.40,-4.70,13.70,1.00,360
2025-08-05,09:20:00,2025-08-05,15:20:00,55600.0,55600.0,734.80,585.65,730.40,659.05,09:20:09,15:20:00,profit_take,eod,0,-0.60,-78.40,-79.00,-5.98,360
2025-08-06,09:20:00,2025-08-06,15:20:00,55400.0,55400.0,730.75,564.10,730.00,526.65,09:20:03,15:20:00,profit_take,eod,0,-4.25,32.45,28.20,2.18,360
2025-08-07,09:20:00,2025-08-07,15:20:00,55300.0,55300.0,712.05,515.90,710.05,374.70,09:20:03,15:20:00,profit_take,eod,0,-3.00,136.20,133.20,10.85,360
2025-08-08,09:20:00,2025-08-08,15:20:00,55500.0,55500.0,413.55,498.25,418.00,786.50,15:20:00,15:20:00,eod,eod,5,-9.45,-293.25,-302.70,-33.20,360
2025-08-11,09:20:00,2025-08-11,15:20:00,55100.0,55100.0,651.30,521.50,790.90,519.05,15:20:00,09:20:03,eod,profit_take,0,-144.60,-2.55,-147.15,-12.55,360
2025-08-12,09:20:00,2025-08-12,15:20:00,55300.0,55300.0,619.55,457.10,535.85,456.40,15:20:00,09:20:06,eod,profit_take,0,78.70,-4.30,74.40,6.91,360
2025-08-13,09:20:00,2025-08-13,15:20:00,55200.0,55200.0,640.30,428.45,643.60,421.65,15:20:00,09:20:07,eod,profit_take,0,-8.30,1.80,-6.50,-0.61,360
2025-08-14,09:20:00,2025-08-14,15:20:00,55200.0,55200.0,601.05,410.60,600.45,357.70,09:20:07,15:20:00,profit_take,eod,0,-4.40,47.90,43.50,4.30,360
