entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,ce_exit_time,pe_exit_time,ce_exit_reason,pe_exit_reason,rehedge_count,ce_pnl,pe_pnl,total_pnl,total_pnl_pct,hold_duration_minutes
2025-08-01,09:20:00,2025-08-01,09:21:15,55900.0,55900.0,755.10,631.20,755.05,631.20,09:20:17,09:21:15,profit_take,early_profit,0,0.05,0.00,-4.95,-0.36,1
2025-08-04,09:20:00,2025-08-04,09:24:40,55700.0,55700.0,782.90,582.45,777.45,582.45,09:20:10,09:24:40,profit_take,early_profit,0,5.45,0.00,0.45,0.03,4
2025-08-05,09:20:00,2025-08-05,09:24:17,55600.0,55600.0,734.80,585.65,730.40,585.65,09:20:09,09:24:17,profit_take,early_profit,0,4.40,0.00,-0.60,-0.05,4
2025-08-06,09:20:00,2025-08-06,09:22:55,55400.0,55400.0,730.75,564.10,730.00,564.10,09:20:03,09:22:55,profit_take,early_profit,0,0.75,0.00,-4.25,-0.33,2
2025-08-07,09:20:00,2025-08-07,09:25:30,55300.0,55300.0,712.05,515.90,710.05,515.90,09:20:03,09:25:30,profit_take,early_profit,0,2.00,0.00,-3.00,-0.24,5
2025-08-08,09:20:00,2025-08-08,09:25:34,55500.0,55500.0,652.00,498.25,646.00,498.25,09:20:03,09:25:34,profit_take,early_profit,0,6.00,0.00,1.00,0.09,5
2025-08-11,09:20:00,2025-08-11,09:25:31,55100.0,55100.0,651.30,521.50,651.30,519.05,09:25:31,09:20:03,early_profit,profit_take,0,0.00,2.45,-2.55,-0.22,5
2025-08-12,09:20:00,2025-08-12,09:25:30,55300.0,55300.0,619.55,457.10,619.55,451.05,09:25:30,09:20:11,early_profit,profit_take,0,0.00,6.05,1.05,0.10,5
2025-08-13,09:20:00,2025-08-13,09:21:22,55200.0,55200.0,640.30,428.45,640.30,427.70,09:21:22,09:20:33,early_profit,profit_take,0,0.00,0.75,-4.25,-0.40,1
2025-08-14,09:20:00,2025-08-14,09:25:33,55200.0,55200.0,601.05,410.60,600.45,410.60,09:20:07,09:25:33,profit_take,early_profit,0,0.60,0.00,-4.40,-0.43,5
2025-08-18,09:20:00,2025-08-18,09:25:33,56000.0,56000.0,495.90,391.00,495.90,386.75,09:25:33,09:20:08,early_profit,profit_take,0,0.00,4.25,-0.75,-0.08,5
2025-08-19,09:20:00,2025-08-19,09:20:54,55700.0,55700.0,492.85,332.65,492.85,332.65,09:20:54,09:20:11,early_profit,early_profit,0,0.00,0.00,-5.00,-0.61,0
2025-08-20,09:20:00,2025-08-20,09:25:34,55700.0,55700.0,426.80,303.20,422.05,303.20,09:20:14,09:25:34,profit_take,early_profit,0,4.75,0.00,-0.25,-0.03,5
2025-08-21,09:20:00,2025-08-21,09:24:53,55800.0,55800.0,376.15,283.00,375.15,283.00,09:20:48,09:24:53,profit_take,early_profit,0,1.00,0.00,-4.00,-0.61,4
2025-08-22,09:20:00,2025-08-22,09:25:31,55600.0,55600.0,354.10,223.50,349.40,223.50,09:20:04,09:25:31,profit_take,early_profit,0,4.70,0.00,-0.30,-0.05,5
2025-08-25,09:20:00,2025-08-25,09:25:31,55200.0,55200.0,317.75,194.80,317.75,188.15,09:25:31,09:20:23,early_profit,profit_take,0,0.00,6.65,1.65,0.32,5
2025-08-26,09:20:00,2025-08-26,09:20:06,54700.0,54700.0,237.85,179.00,237.85,178.70,09:20:06,09:20:02,early_profit,profit_take,0,0.00,0.30,-4.70,-1.13,0
2025-08-28,09:20:00,2025-08-28,09:25:33,54000.0,54000.0,179.05,132.90,177.20,132.90,09:20:01,09:25:33,profit_take,early_profit,0,1.85,0.00,-3.15,-1.01,5
2025-08-29,09:20:00,2025-08-29,09:20:49,53900.0,53900.0,949.70,567.05,945.70,567.05,09:20:19,09:20:49,profit_take,early_profit,0,4.00,0.00,-1.00,-0.07,0
2025-09-01,09:20:00,2025-09-01,09:25:30,53900.0,53900.0,900.75,530.45,900.75,527.20,09:25:30,09:20:13,early_profit,profit_take,0,0.00,3.25,-1.75,-0.12,5
2025-09-02,09:20:00,2025-09-02,09:25:10,54000.0,54000.0,833.70,535.55,825.00,535.55,09:20:04,09:25:10,profit_take,early_profit,0,8.70,0.00,3.70,0.27,5
2025-09-03,09:20:00,2025-09-03,09:20:45,53600.0,53600.0,862.50,525.80,859.90,525.80,09:20:27,09:20:45,profit_take,early_profit,0,2.60,0.00,-2.40,-0.17,0
2025-09-04,09:20:00,2025-09-04,09:23:26,54300.0,54300.0,740.70,529.35,735.30,529.35,09:20:05,09:23:26,profit_take,early_profit,0,5.40,0.00,0.40,0.03,3
2025-09-05,09:20:00,2025-09-05,09:24:33,54200.0,54200.0,733.35,474.45,733.35,471.50,09:24:33,09:20:03,early_profit,profit_take,0,0.00,2.95,-2.05,-0.17,4
2025-09-08,09:20:00,2025-09-08,09:22:22,54200.0,54200.0,684.60,491.90,683.00,491.90,09:20:23,09:22:22,profit_take,early_profit,0,1.60,0.00,-3.40,-0.29,2
2025-09-09,09:20:00,2025-09-09,09:20:23,54300.0,54300.0,676.70,449.30,675.45,449.30,09:20:04,09:20:23,profit_take,early_profit,0,1.25,0.00,-3.75,-0.33,0
2025-09-10,09:20:00,2025-09-10,09:25:30,54500.0,54500.0,618.05,460.40,618.05,456.60,09:25:30,09:20:02,early_profit,profit_take,0,0.00,3.80,-1.20,-0.11,5
2025-09-11,09:20:00,2025-09-11,09:25:35,54500.0,54500.0,676.15,400.95,674.40,400.95,09:20:08,09:25:35,profit_take,early_profit,0,1.75,0.00,-3.25,-0.30,5
2025-09-12,09:20:00,2025-09-12,09:23:32,54700.0,54700.0,612.50,396.45,612.50,396.45,09:23:32,09:20:03,early_profit,early_profit,0,0.00,0.00,-5.00,-0.50,3
2025-09-15,09:20:00,2025-09-15,09:25:33,54800.0,54800.0,586.00,350.90,576.65,350.90,09:20:11,09:25:33,profit_take,early_profit,0,9.35,0.00,4.35,0.46,5
2025-09-16,09:20:00,2025-09-16,09:22:51,54900.0,54900.0,538.10,358.45,538.10,358.15,09:22:51,09:20:39,early_profit,profit_take,0,0.00,0.30,-4.70,-0.52,2
2025-09-17,09:20:00,2025-09-17,09:25:32,55200.0,55200.0,534.25,318.45,530.40,318.45,09:20:07,09:25:32,profit_take,early_profit,0,3.85,0.00,-1.15,-0.13,5
2025-09-18,09:20:00,2025-09-18,09:22:11,55700.0,55700.0,436.00,324.15,432.20,324.15,09:20:07,09:22:11,profit_take,early_profit,0,3.80,0.00,-1.20,-0.16,2
2025-09-19,09:20:00,2025-09-19,09:20:13,55600.0,55600.0,445.80,281.90,445.80,280.30,09:20:13,09:20:07,early_profit,profit_take,0,0.00,1.60,-3.40,-0.47,0
