entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,ce_exit_time,pe_exit_time,ce_exit_reason,pe_exit_reason,rehedge_count,ce_pnl,pe_pnl,total_pnl,total_pnl_pct,hold_duration_minutes
2025-08-19,09:20:00,2025-08-19,15:20:00,24900.0,24900.0,193.90,143.50,230.45,141.65,15:20:00,09:20:10,eod,profit_take,0,-41.55,-3.15,-44.70,-13.25,360
2025-08-20,09:20:00,2025-08-20,15:20:00,24950.0,24950.0,161.10,135.40,158.75,89.25,09:20:21,15:20:00,profit_take,eod,0,-2.65,41.15,38.50,12.98,360
2025-08-21,09:20:00,2025-08-21,15:20:00,25100.0,25100.0,140.85,126.40,133.25,124.55,15:20:00,09:20:02,eod,profit_take,0,2.60,-3.15,-0.55,-0.21,360
2025-08-22,09:20:00,2025-08-22,15:20:00,25000.0,25000.0,69.05,96.55,73.00,165.95,15:20:00,15:20:00,eod,eod,28,-8.95,-74.40,-83.35,-50.33,360
2025-08-25,09:20:00,2025-08-25,15:20:00,24900.0,24900.0,116.15,85.70,115.85,41.85,09:20:04,15:20:00,profit_take,eod,0,-4.70,38.85,34.15,16.92,360
2025-08-26,09:20:00,2025-08-26,15:20:00,24850.0,24850.0,27.40,66.25,30.25,154.15,15:20:00,15:20:00,eod,eod,37,-7.85,-92.90,-100.75,-107.58,360
2025-08-28,09:20:00,2025-08-28,15:20:00,24600.0,24600.0,5.60,18.30,0.25,105.95,15:20:00,15:20:00,eod,eod,42,0.35,-92.65,-92.30,-386.19,360
2025-09-18,09:20:00,2025-09-18,15:20:00,25400.0,25400.0,205.85,114.45,205.60,100.30,09:20:11,15:20:00,profit_take,eod,0,-4.75,9.15,4.40,1.37,360
2025-09-19,09:20:00,2025-09-19,15:20:00,25400.0,25400.0,156.65,129.55,151.25,128.55,15:20:00,09:20:09,eod,profit_take,0,0.40,-4.00,-3.60,-1.26,360
2025-09-22,09:20:00,2025-09-22,15:20:00,25250.0,25250.0,181.95,101.55,179.35,101.55,09:20:24,15:20:00,profit_take,eod,0,-2.40,-5.00,-7.40,-2.61,360
2025-09-23,09:20:00,2025-09-23,15:20:00,25200.0,25200.0,176.60,95.50,155.10,90.00,15:20:00,09:21:13,eod,profit_take,0,16.50,0.50,17.00,6.25,360
2025-09-24,09:20:00,2025-09-24,15:20:00,25100.0,25100.0,136.60,99.25,132.95,99.15,09:20:13,15:20:00,profit_take,eod,0,-1.35,-4.90,-6.25,-2.65,360
