entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:25:00,2025-08-01,11:29:59,55800.0,55800.0,829.0,577.0,832.85,566.3,6.849999999999909,124,time_limit
2025-08-04,09:25:00,2025-08-04,11:29:59,55700.0,55700.0,778.5,585.4,743.05,629.4,-8.549999999999727,124,time_limit
2025-08-05,09:25:00,2025-08-05,11:29:59,55600.0,55600.0,744.35,570.7,699.0,625.45,-9.399999999999864,124,time_limit
2025-08-06,09:25:00,2025-08-06,11:29:59,55400.0,55400.0,765.6,536.4,669.9,591.15,40.950000000000045,124,time_limit
2025-08-07,09:25:00,2025-08-07,11:29:59,55300.0,55300.0,674.4,544.95,629.65,601.3,-11.599999999999909,124,time_limit
2025-08-08,09:25:00,2025-08-08,11:29:59,55400.0,55400.0,698.4,471.6,572.65,601.5,-4.150000000000091,124,time_limit
2025-08-11,09:25:00,2025-08-11,11:29:59,55200.0,55200.0,629.35,528.9,691.4,463.95,2.900000000000091,124,time_limit
2025-08-12,09:25:00,2025-08-12,11:29:58,55400.0,55400.0,599.1,470.7,554.0,539.05,-23.25,124,time_limit
2025-08-13,09:25:00,2025-08-13,11:29:59,55200.0,55200.0,650.25,420.0,592.5,460.75,17.0,124,time_limit
2025-08-14,09:25:00,2025-08-14,11:29:59,55200.0,55200.0,623.1,400.5,651.9,365.55,6.149999999999977,124,time_limit
2025-08-18,09:25:00,2025-08-18,11:29:59,56000.0,56000.0,507.25,384.7,486.95,387.15,17.850000000000136,124,time_limit
2025-08-19,09:25:00,2025-08-19,11:29:59,55800.0,55800.0,459.05,361.15,453.45,322.85,43.90000000000009,124,time_limit
2025-08-20,09:25:00,2025-08-20,11:29:59,55700.0,55700.0,419.85,311.1,413.3,319.1,-1.4500000000000455,124,time_limit
2025-08-21,09:25:00,2025-08-21,11:29:59,55700.0,55700.0,422.9,253.3,504.9,190.6,-19.299999999999955,124,time_limit
2025-08-22,09:25:00,2025-08-22,11:29:59,55600.0,55600.0,347.65,237.35,212.75,365.95,6.2999999999999545,124,time_limit
2025-08-25,09:25:00,2025-08-25,11:29:59,55300.0,55300.0,297.95,195.7,198.75,252.95,41.94999999999999,124,time_limit
2025-08-26,09:25:00,2025-08-26,11:29:59,54700.0,54700.0,224.35,202.75,216.05,155.5,55.55000000000001,124,time_limit
2025-08-28,09:25:00,2025-08-28,11:29:59,54000.0,54000.0,139.0,156.45,335.25,41.65,-81.44999999999999,124,time_limit
2025-08-29,09:25:00,2025-08-29,11:29:59,54000.0,54000.0,941.45,576.85,962.25,534.5,21.550000000000182,124,time_limit
2025-09-01,09:25:00,2025-09-01,11:29:59,53900.0,53900.0,925.45,511.05,880.0,535.0,21.5,124,time_limit
2025-09-02,09:25:00,2025-09-02,11:29:59,53900.0,53900.0,894.6,502.0,945.3,455.05,-3.75,124,time_limit
2025-09-03,09:25:00,2025-09-03,11:29:59,53600.0,53600.0,889.2,503.6,916.35,460.95,15.500000000000227,124,time_limit
2025-09-04,09:25:00,2025-09-04,11:29:59,54200.0,54200.0,793.95,497.0,775.0,505.0,10.950000000000045,124,time_limit
2025-09-05,09:25:00,2025-09-05,11:29:59,54200.0,54200.0,721.2,488.0,575.9,606.0,27.299999999999955,124,time_limit
2025-09-08,09:25:00,2025-09-08,11:29:59,54100.0,54100.0,712.6,466.3,813.35,385.0,-19.449999999999818,124,time_limit
2025-09-09,09:25:00,2025-09-09,11:29:59,54200.0,54200.0,711.0,431.25,699.0,459.95,-16.700000000000045,124,time_limit
2025-09-10,09:25:00,2025-09-10,11:29:59,54400.0,54400.0,658.7,433.2,779.0,375.4,-62.5,124,time_limit
2025-09-11,09:25:00,2025-09-11,11:29:59,54600.0,54600.0,645.0,425.1,645.65,426.65,-2.2000000000000455,124,time_limit
2025-09-12,09:25:00,2025-09-12,11:29:59,54600.0,54600.0,638.35,385.55,735.4,312.0,-23.5,124,time_limit
2025-09-15,09:25:00,2025-09-15,11:29:59,54900.0,54900.0,560.2,368.45,585.4,347.5,-4.249999999999886,124,time_limit
2025-09-16,09:25:00,2025-09-16,11:29:59,54900.0,54900.0,549.95,354.5,669.1,286.4,-51.049999999999955,124,time_limit
2025-09-17,09:25:00,2025-09-17,11:29:59,55300.0,55300.0,495.5,341.85,537.1,300.55,-0.3000000000000682,124,time_limit
2025-09-18,09:25:00,2025-09-18,11:29:59,55700.0,55700.0,479.6,296.2,521.7,275.0,-20.90000000000009,124,time_limit
2025-09-19,09:25:00,2025-09-19,11:29:59,55600.0,55600.0,435.5,293.3,360.2,370.65,-2.0499999999999545,124,time_limit
2025-09-22,09:25:00,2025-09-22,11:29:59,55600.0,55600.0,393.15,296.0,402.55,270.85,15.749999999999886,124,time_limit
2025-09-23,09:25:00,2025-09-23,11:29:58,55300.0,55300.0,391.1,271.0,384.2,290.1,-12.199999999999932,124,time_limit
2025-09-24,09:25:00,2025-09-24,11:29:59,55400.0,55400.0,347.45,252.6,220.15,353.8,26.09999999999991,124,time_limit
2025-09-25,09:25:00,2025-09-25,11:29:59,55200.0,55200.0,334.65,202.45,314.25,191.55,31.299999999999898,124,time_limit
2025-09-26,09:25:00,2025-09-26,11:29:59,54700.0,54700.0,334.95,159.8,215.6,232.0,47.14999999999998,124,time_limit
2025-09-29,09:25:00,2025-09-29,11:29:59,54500.0,54500.0,257.8,145.5,208.0,149.0,46.30000000000001,124,time_limit
2025-09-30,09:25:00,2025-09-30,11:29:59,54700.0,54700.0,155.65,117.4,83.15,167.25,22.650000000000006,124,time_limit
2025-10-01,09:25:00,2025-10-01,11:29:59,54700.0,54700.0,892.8,515.8,1099.85,386.6,-77.84999999999991,124,time_limit
2025-10-03,09:25:00,2025-10-03,11:29:59,55400.0,55400.0,783.6,532.95,812.3,478.9,25.350000000000364,124,time_limit
2025-10-06,09:25:00,2025-10-06,11:29:59,55800.0,55800.0,734.6,483.35,833.2,399.9,-15.149999999999864,124,time_limit
2025-10-07,09:25:00,2025-10-07,11:29:59,56100.0,56100.0,683.3,472.65,763.6,412.8,-20.450000000000273,124,time_limit
2025-10-08,09:25:00,2025-10-08,11:29:59,56200.0,56200.0,695.5,434.45,511.05,592.0,26.90000000000009,124,time_limit
2025-10-09,09:25:00,2025-10-09,11:29:59,56100.0,56100.0,654.4,444.05,703.7,398.3,-3.5499999999999545,124,time_limit
2025-10-10,09:25:00,2025-10-10,11:29:59,56400.0,56400.0,621.75,436.9,798.15,336.2,-75.69999999999982,124,time_limit
2025-10-13,09:25:00,2025-10-13,11:29:59,56500.0,56500.0,633.75,427.8,680.2,399.25,-17.90000000000009,124,time_limit
2025-10-14,09:25:00,2025-10-14,11:29:59,56700.0,56700.0,618.25,408.8,460.1,582.6,-15.650000000000091,124,time_limit
2025-10-15,09:25:00,2025-10-15,11:29:59,56600.0,56600.0,609.0,362.85,726.15,300.3,-54.60000000000002,124,time_limit
2025-10-16,09:25:00,2025-10-16,11:29:59,57100.0,57200.0,492.6,430.5,512.9,421.4,-11.199999999999932,124,time_limit
2025-10-17,09:25:00,2025-10-17,11:29:59,57300.0,57300.0,512.35,407.1,855.6,268.65,-204.79999999999995,124,time_limit
2025-10-20,09:25:00,2025-10-20,11:29:59,58000.0,57900.0,416.3,327.25,471.35,270.75,1.4499999999999318,124,time_limit
2025-10-23,09:25:00,2025-10-23,11:29:59,58300.0,58300.0,301.35,359.7,423.7,213.2,24.149999999999977,124,time_limit
2025-10-24,09:25:00,2025-10-24,11:29:59,58100.0,58100.0,269.5,255.0,123.6,416.55,-15.649999999999977,124,time_limit
2025-10-27,09:25:00,2025-10-27,11:29:59,58000.0,58000.0,198.7,211.55,306.15,129.95,-25.849999999999966,124,time_limit
2025-10-28,09:25:00,2025-10-28,11:29:59,58100.0,58100.0,177.2,144.1,59.65,260.0,1.6499999999999773,124,time_limit
2025-10-29,09:25:00,2025-10-29,11:29:59,58200.0,58200.0,965.5,588.65,965.8,555.65,32.70000000000027,124,time_limit
2025-10-30,09:25:00,2025-10-30,11:29:59,58300.0,58300.0,914.6,586.1,866.15,590.25,44.299999999999955,124,time_limit
2025-10-31,09:25:00,2025-10-31,11:29:59,58100.0,58100.0,883.45,569.0,746.05,670.0,36.40000000000009,124,time_limit
2025-11-03,09:25:00,2025-11-03,11:29:59,57900.0,57900.0,859.3,584.0,961.55,497.65,-15.899999999999864,124,time_limit
2025-11-04,09:25:00,2025-11-04,11:29:59,58000.0,58000.0,846.15,563.2,773.4,590.1,45.84999999999991,124,time_limit
2025-11-06,09:25:00,2025-11-06,11:29:58,57800.0,57800.0,850.0,526.0,679.3,599.75,96.95000000000005,124,time_limit
2025-11-07,09:25:00,2025-11-07,11:29:59,57200.0,57200.0,794.9,491.9,1087.85,319.9,-120.95000000000005,124,time_limit
2025-11-10,09:25:00,2025-11-10,11:29:59,57900.0,57900.0,750.7,460.0,820.4,379.0,11.299999999999955,124,time_limit
2025-11-11,09:25:00,2025-11-11,11:29:59,57900.0,57900.0,736.95,449.9,611.35,528.9,46.59999999999991,124,time_limit
2025-11-12,09:25:00,2025-11-12,11:29:59,58400.0,58400.0,655.4,429.2,592.85,432.45,59.299999999999955,124,time_limit
2025-11-13,09:25:00,2025-11-13,11:29:59,58200.0,58200.0,657.1,386.95,816.15,304.0,-76.10000000000014,124,time_limit
2025-11-14,09:25:00,2025-11-14,11:29:59,58300.0,58300.0,593.4,433.4,618.75,377.75,30.299999999999955,124,time_limit
2025-11-17,09:25:00,2025-11-17,11:29:59,58800.0,58800.0,493.85,403.95,518.45,362.1,17.249999999999886,124,time_limit
2025-11-18,09:25:00,2025-11-18,11:29:59,59000.0,59000.0,420.7,416.85,421.75,403.0,12.799999999999955,124,time_limit
