entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-01,09:45:00,2025-08-01,14:59:59,55900.0,55900.0,787.85,611.2,678.8,689.3,30.950000000000273,314,time_limit
2025-08-04,09:45:00,2025-08-04,12:36:18,55500.0,55500.0,811.0,587.0,905.3,502.3,-9.599999999999909,171,stop_loss
2025-08-05,09:45:00,2025-08-05,14:59:59,55500.0,55500.0,770.0,575.2,649.15,655.0,41.049999999999955,314,time_limit
2025-08-06,09:45:00,2025-08-06,14:59:59,55400.0,55400.0,753.5,555.05,696.75,544.3,67.5,314,time_limit
2025-08-07,09:45:00,2025-08-07,14:59:59,55300.0,55300.0,680.35,539.4,734.75,466.2,18.799999999999955,314,time_limit
2025-08-08,09:45:00,2025-08-08,14:59:59,55400.0,55400.0,677.85,500.75,543.25,618.2,17.149999999999864,314,time_limit
2025-08-11,09:45:00,2025-08-11,14:01:40,55200.0,55200.0,643.75,534.05,734.4,407.0,36.399999999999864,256,stop_loss
2025-08-12,09:45:00,2025-08-12,14:59:59,55500.0,55500.0,583.6,497.5,448.25,630.1,2.75,314,time_limit
2025-08-13,09:45:00,2025-08-13,14:01:39,55200.0,55200.0,648.75,417.85,672.0,372.85,21.75,256,stop_loss
2025-08-14,09:45:00,2025-08-14,14:59:59,55400.0,55400.0,587.95,421.5,572.6,407.15,29.700000000000045,314,time_limit
2025-08-18,09:45:00,2025-08-18,12:14:03,56100.0,56100.0,511.8,399.3,321.15,581.75,8.200000000000045,149,stop_loss
2025-08-19,09:45:00,2025-08-19,11:29:04,55700.0,55700.0,454.3,355.05,512.55,284.55,12.250000000000114,104,stop_loss
2025-08-20,09:45:00,2025-08-20,14:59:59,55700.0,55700.0,424.15,307.0,420.3,290.0,20.850000000000023,314,time_limit
2025-08-21,09:45:00,2025-08-21,09:58:47,55800.0,55800.0,370.1,293.75,431.9,238.9,-6.949999999999932,13,stop_loss
2025-08-22,09:45:00,2025-08-22,14:18:03,55500.0,55500.0,350.0,244.9,200.8,370.35,23.749999999999886,273,stop_loss
2025-08-25,09:45:00,2025-08-25,09:45:01,55200.0,55200.0,337.7,162.85,339.95,161.0,-0.4000000000000341,0,stop_loss
2025-08-26,09:45:00,2025-08-26,09:46:02,54500.0,54500.0,264.05,170.25,283.2,154.95,-3.849999999999966,1,stop_loss
2025-08-28,09:45:00,2025-08-28,09:45:12,54000.0,54000.0,173.0,108.35,181.65,100.6,-0.8999999999999773,0,stop_loss
2025-08-29,09:45:00,2025-08-29,10:31:02,54000.0,54000.0,920.9,583.25,975.05,535.95,-6.849999999999909,46,stop_loss
2025-09-01,09:45:00,2025-09-01,09:45:01,53900.0,53900.0,939.0,501.0,938.4,501.55,0.049999999999954525,0,stop_loss
2025-09-02,09:45:00,2025-09-02,10:04:59,54100.0,54100.0,832.65,531.2,884.5,491.3,-11.950000000000045,19,stop_loss
2025-09-03,09:45:00,2025-09-03,09:45:05,53600.0,53600.0,895.1,490.7,895.05,488.8,1.9500000000000455,0,stop_loss
2025-09-04,09:45:00,2025-09-04,14:59:59,54300.0,54300.0,753.3,509.45,626.1,604.0,32.65000000000009,314,time_limit
2025-09-05,09:45:00,2025-09-05,09:47:04,54000.0,54000.0,773.9,456.0,794.0,436.65,-0.75,2,stop_loss
2025-09-08,09:45:00,2025-09-08,14:31:18,54300.0,54300.0,691.45,469.8,745.3,413.25,2.7000000000000455,286,stop_loss
2025-09-09,09:45:00,2025-09-09,14:59:59,54300.0,54300.0,674.4,460.8,644.45,474.0,16.75,314,time_limit
2025-09-10,09:45:00,2025-09-10,10:25:10,54500.0,54500.0,665.0,440.9,738.7,407.05,-39.84999999999991,40,stop_loss
2025-09-11,09:45:00,2025-09-11,12:24:31,54600.0,54600.0,654.85,431.55,696.0,385.75,4.650000000000091,159,stop_loss
2025-09-12,09:45:00,2025-09-12,09:46:10,54600.0,54600.0,652.55,374.95,660.4,364.9,2.2000000000000455,1,stop_loss
2025-09-15,09:45:00,2025-09-15,11:51:03,54900.0,54900.0,560.4,371.3,601.65,334.2,-4.149999999999864,126,stop_loss
2025-09-16,09:45:00,2025-09-16,10:01:05,55000.0,55000.0,534.9,363.8,597.0,331.6,-29.899999999999977,16,stop_loss
2025-09-17,09:45:00,2025-09-17,10:39:19,55300.0,55300.0,528.1,314.05,541.75,300.4,1.1368683772161603e-13,54,stop_loss
2025-09-18,09:45:00,2025-09-18,10:03:54,55700.0,55700.0,474.6,295.65,501.9,277.65,-9.299999999999955,18,stop_loss
2025-09-19,09:45:00,2025-09-19,09:51:23,55500.0,55500.0,488.25,273.1,491.25,271.5,-1.3999999999999773,6,stop_loss
2025-09-22,09:45:00,2025-09-22,10:28:39,55600.0,55600.0,415.35,274.5,444.7,243.5,1.6499999999999773,43,stop_loss
2025-09-23,09:45:00,2025-09-23,10:04:36,55300.0,55200.0,374.25,260.1,420.85,227.7,-14.199999999999932,19,stop_loss
2025-09-24,09:45:00,2025-09-24,09:57:43,55300.0,55300.0,350.0,231.15,374.0,207.65,-0.5,12,stop_loss
2025-09-25,09:45:00,2025-09-25,09:45:01,55100.0,55100.0,345.3,190.1,345.05,191.2,-0.8500000000000227,0,stop_loss
2025-09-26,09:45:00,2025-09-26,09:57:46,54700.0,54700.0,288.8,197.7,315.25,172.1,-0.8500000000000227,12,stop_loss
2025-09-29,09:45:00,2025-09-29,09:45:35,54600.0,54600.0,220.0,134.75,230.0,127.2,-2.4499999999999886,0,stop_loss
2025-09-30,09:45:00,2025-09-30,10:03:55,54700.0,54700.0,132.3,142.7,94.0,191.65,-10.649999999999977,18,stop_loss
2025-10-01,09:45:00,2025-10-01,09:46:51,54800.0,54800.0,890.4,517.25,908.6,504.1,-5.0499999999999545,1,stop_loss
2025-10-03,09:45:00,2025-10-03,09:53:22,55400.0,55400.0,794.05,517.6,854.05,473.25,-15.649999999999864,8,stop_loss
2025-10-06,09:45:00,2025-10-06,12:13:34,55900.0,55900.0,699.9,492.8,771.85,428.6,-7.75,148,stop_loss
2025-10-07,09:45:00,2025-10-07,13:43:01,56300.0,56300.0,661.45,486.85,733.15,403.05,12.100000000000136,238,stop_loss
2025-10-08,09:45:00,2025-10-08,14:59:59,56200.0,56200.0,679.25,449.35,569.1,507.0,52.5,314,time_limit
2025-10-09,09:45:00,2025-10-09,10:24:47,55900.0,55900.0,711.9,423.3,729.95,405.4,-0.14999999999986358,39,stop_loss
2025-10-10,09:45:00,2025-10-10,10:16:53,56500.0,56500.0,627.8,436.6,711.9,395.2,-42.69999999999982,31,stop_loss
2025-10-13,09:45:00,2025-10-13,10:29:34,56500.0,56500.0,637.0,423.0,699.0,388.2,-27.200000000000045,44,stop_loss
2025-10-14,09:45:00,2025-10-14,14:59:59,56600.0,56600.0,633.95,429.95,567.55,436.65,59.70000000000016,314,time_limit
2025-10-15,09:45:00,2025-10-15,10:12:16,56600.0,56600.0,604.5,388.0,629.6,349.2,13.700000000000045,27,stop_loss
2025-10-16,09:45:00,2025-10-16,12:21:23,57100.0,57100.0,509.9,377.85,593.75,329.8,-35.799999999999955,156,stop_loss
2025-10-17,09:45:00,2025-10-17,10:57:30,57500.0,57500.0,481.9,453.4,642.2,356.75,-63.65000000000009,72,stop_loss
2025-10-20,09:45:00,2025-10-20,14:59:59,58000.0,58000.0,414.85,369.8,378.1,342.9,63.65000000000009,314,time_limit
2025-10-23,09:45:00,2025-10-23,14:20:01,58400.0,58400.0,341.85,301.3,195.0,353.1,95.05000000000007,275,stop_loss
2025-10-24,09:45:00,2025-10-24,10:15:31,58100.0,58100.0,262.8,254.1,180.5,333.3,3.1000000000000227,30,stop_loss
2025-10-27,09:45:00,2025-10-27,10:07:20,58000.0,58000.0,231.85,186.0,270.75,145.45,1.650000000000034,22,stop_loss
2025-10-28,09:45:00,2025-10-28,09:53:12,58200.0,58200.0,181.65,123.9,106.3,215.95,-16.69999999999999,8,stop_loss
2025-10-29,09:45:00,2025-10-29,09:45:21,58100.0,58100.0,969.75,579.05,999.55,550.75,-1.5,0,stop_loss
2025-10-30,09:45:00,2025-10-30,10:15:14,58200.0,58200.0,877.05,606.65,964.8,534.55,-15.650000000000091,30,stop_loss
2025-10-31,09:45:00,2025-10-31,09:48:09,58100.0,58100.0,916.55,549.75,945.0,524.3,-3.0,3,stop_loss
2025-11-03,09:45:00,2025-11-03,10:44:04,58000.0,58000.0,858.8,564.0,932.9,518.2,-28.299999999999955,59,stop_loss
2025-11-04,09:45:00,2025-11-04,14:59:59,57900.0,57900.0,844.2,557.6,799.1,555.65,47.05000000000018,314,time_limit
2025-11-06,09:45:00,2025-11-06,14:59:59,57700.0,57700.0,812.4,543.3,755.05,502.15,98.5,314,time_limit
2025-11-07,09:45:00,2025-11-07,09:49:24,57300.0,57300.0,790.05,480.15,815.55,453.0,1.6499999999998636,4,stop_loss
2025-11-10,09:45:00,2025-11-10,10:20:00,58000.0,58000.0,726.15,455.7,748.2,415.3,18.34999999999991,35,stop_loss
2025-11-11,09:45:00,2025-11-11,13:14:27,57900.0,57900.0,692.8,484.8,732.5,403.5,41.59999999999991,209,stop_loss
2025-11-12,09:45:00,2025-11-12,09:47:02,58300.0,58300.0,686.6,396.9,696.4,386.25,0.849999999999909,2,stop_loss
2025-11-13,09:45:00,2025-11-13,10:01:01,58300.0,58300.0,639.3,399.2,675.0,367.35,-3.849999999999909,16,stop_loss
2025-11-14,09:45:00,2025-11-14,14:59:59,58400.0,58400.0,621.95,414.9,496.2,453.5,87.14999999999986,314,time_limit
2025-11-17,09:45:00,2025-11-17,14:59:59,58900.0,58900.0,483.0,408.75,481.2,374.65,35.90000000000009,314,time_limit
2025-11-18,09:45:00,2025-11-18,14:59:59,59000.0,59000.0,430.65,414.1,406.5,389.25,49.0,314,time_limit
2025-11-19,09:45:00,2025-11-19,10:16:27,58800.0,58800.0,1077.5,672.1,1140.3,626.45,-17.15000000000009,31,stop_loss
2025-11-20,09:45:00,2025-11-20,12:34:27,59200.0,59200.0,1058.4,684.0,1112.95,618.0,11.450000000000045,169,stop_loss
2025-11-21,09:45:00,2025-11-21,14:59:59,59100.0,59100.0,1050.0,670.0,936.4,779.85,3.75,314,time_limit
2025-11-24,09:45:00,2025-11-24,10:07:01,58900.0,58900.0,1057.55,663.9,1118.0,620.0,-16.550000000000182,22,stop_loss
2025-11-25,09:45:00,2025-11-25,10:11:19,58900.0,58900.0,997.0,670.35,1090.0,605.0,-27.65000000000009,26,stop_loss
2025-11-26,09:45:00,2025-11-26,10:00:06,59300.0,59300.0,960.15,643.75,1073.5,596.35,-65.94999999999982,15,stop_loss
2025-11-27,09:45:00,2025-11-27,10:08:32,59600.0,59600.0,963.7,629.2,1044.0,575.0,-26.09999999999991,23,stop_loss
2025-11-28,09:45:00,2025-11-28,11:03:46,59700.0,59700.0,921.05,622.15,997.0,553.3,-7.100000000000136,78,stop_loss
2025-12-01,09:45:00,2025-12-01,14:59:59,60000.0,60000.0,868.7,601.75,659.25,784.55,26.65000000000009,314,time_limit
