entry_date,entry_time,exit_date,exit_time,ce_strike,pe_strike,ce_entry_price,pe_entry_price,ce_exit_price,pe_exit_price,pnl,hold_duration_minutes,exit_reason
2025-08-19,13:00:00,2025-08-19,15:09:59,25300.0,24700.0,59.45,52.85,52.7,49.15,10.450000000000017,129,time_limit
2025-08-19,13:30:00,2025-08-19,15:09:59,25250.0,24750.0,70.55,63.35,65.55,58.6,9.75,99,time_limit
2025-08-20,13:00:00,2025-08-20,15:09:59,25300.0,24800.0,63.1,49.65,60.0,46.75,6.0,129,time_limit
2025-08-20,13:30:00,2025-08-20,15:09:59,25300.0,24800.0,54.85,54.65,60.0,46.75,2.75,99,time_limit
2025-08-21,13:00:00,2025-08-21,15:09:59,25350.0,24850.0,48.85,36.45,39.0,36.0,10.300000000000011,129,time_limit
2025-08-21,13:30:00,2025-08-21,15:09:59,25350.0,24850.0,44.7,39.2,39.0,36.0,8.900000000000006,99,time_limit
2025-08-22,13:00:00,2025-08-22,15:09:59,25150.0,24650.0,37.0,28.7,31.9,36.3,-2.499999999999986,129,time_limit
2025-08-22,13:30:00,2025-08-22,15:09:59,25200.0,24700.0,29.75,33.05,24.3,45.95,-7.450000000000003,99,time_limit
2025-08-25,13:00:00,2025-08-25,15:09:59,25250.0,24750.0,15.25,13.6,10.9,15.05,2.8999999999999986,129,time_limit
2025-08-25,13:30:00,2025-08-25,15:09:59,25250.0,24750.0,13.45,14.65,10.9,15.05,2.1499999999999986,99,time_limit
2025-08-26,13:00:00,2025-08-26,15:09:59,25050.0,24550.0,10.7,10.3,10.35,16.45,-5.799999999999997,129,time_limit
2025-08-26,13:30:00,2025-08-26,15:09:59,25050.0,24550.0,11.35,9.2,10.35,16.45,-6.25,99,time_limit
2025-08-28,13:00:00,2025-08-28,14:26:28,24800.0,24350.0,1.55,1.2,0.8,0.55,1.4,86,profit_target
2025-08-28,13:30:00,2025-08-28,14:26:40,24800.0,24300.0,1.55,0.95,0.75,0.5,1.25,56,profit_target
2025-09-18,13:00:00,2025-09-18,15:09:59,25650.0,25150.0,77.0,54.5,87.75,42.9,0.8499999999999943,129,time_limit
2025-09-18,13:30:00,2025-09-18,15:09:59,25650.0,25100.0,74.1,46.2,87.75,36.75,-4.200000000000003,99,time_limit
2025-09-19,13:00:00,2025-09-19,15:09:59,25550.0,25050.0,77.0,47.2,78.0,42.35,3.8500000000000085,129,time_limit
2025-09-19,13:30:00,2025-09-19,15:09:59,25600.0,25100.0,66.85,48.3,62.55,49.9,2.700000000000003,99,time_limit
2025-09-22,13:00:00,2025-09-22,15:09:58,25550.0,25050.0,56.7,39.8,38.9,60.75,-3.1500000000000057,129,time_limit
2025-09-22,13:30:00,2025-09-22,15:09:58,25550.0,25050.0,54.8,39.95,38.9,60.75,-4.900000000000006,99,time_limit
2025-09-23,13:00:00,2025-09-23,15:09:59,25450.0,24950.0,51.3,39.3,48.75,35.15,6.699999999999989,129,time_limit
2025-09-23,13:30:00,2025-09-23,15:09:59,25450.0,24950.0,58.45,34.75,48.75,35.15,9.299999999999997,99,time_limit
2025-09-24,13:00:00,2025-09-24,15:09:59,25350.0,24850.0,36.25,24.1,27.25,28.35,4.75,129,time_limit
2025-09-24,13:30:00,2025-09-24,15:09:59,25400.0,24900.0,31.3,27.15,20.3,36.45,1.7000000000000028,99,time_limit
2025-09-25,13:00:00,2025-09-25,15:09:59,25250.0,24750.0,27.55,21.45,19.45,29.95,-0.3999999999999986,129,time_limit
2025-09-25,13:30:00,2025-09-25,15:09:59,25250.0,24750.0,25.9,20.35,19.45,29.95,-3.1499999999999986,99,time_limit
2025-09-26,13:00:00,2025-09-26,15:09:59,25000.0,24550.0,26.7,16.1,16.2,43.05,-16.450000000000003,129,time_limit
2025-09-26,13:30:00,2025-09-26,15:09:59,25000.0,24500.0,20.9,14.0,16.2,32.25,-13.550000000000004,99,time_limit
2025-09-29,13:00:00,2025-09-29,15:09:59,24900.0,24400.0,9.2,9.05,7.65,7.15,3.4499999999999993,129,time_limit
2025-09-29,13:30:00,2025-09-29,15:09:59,24950.0,24450.0,9.2,8.45,5.75,10.0,1.8999999999999986,99,time_limit
2025-09-30,13:00:00,2025-09-30,14:33:09,24900.0,24400.0,1.55,1.6,0.8,0.75,1.6000000000000003,93,profit_target
2025-09-30,13:30:00,2025-09-30,14:36:14,24900.0,24400.0,1.35,1.55,0.8,0.65,1.4500000000000002,66,profit_target
2025-10-16,13:00:00,2025-10-16,15:09:59,25750.0,25250.0,95.9,64.05,119.85,54.9,-14.800000000000011,129,time_limit
2025-10-16,13:30:00,2025-10-16,15:09:59,25800.0,25250.0,81.6,62.0,99.0,54.9,-10.300000000000011,99,time_limit
2025-10-17,13:00:00,2025-10-17,15:09:59,26000.0,25450.0,75.85,80.85,70.45,72.9,13.349999999999966,129,time_limit
2025-10-17,13:30:00,2025-10-17,15:09:59,25950.0,25400.0,85.0,73.8,85.85,63.15,9.800000000000011,99,time_limit
